object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
entry	Anosmia	0	
orth	Anosmia	spa	
foreign	anosmie	fra	
entry	Anquiloblefaron	0	
orth	Anquiloblefaron	spa	
foreign	ankyloblefaron	fra	
entry	Anquilogloso	0	
orth	Anquilogloso	spa	
foreign	ankyloglosse	fra	
entry	Anquilomerismo	0	
orth	Anquilomerismo	spa	
foreign	adhérence d’une partie avec une autre	fra	
entry	Anquilops	0	
orth	Anquilops	spa	
foreign	ankylops	fra	
entry	Anquilosis	0	
orth	Anquilosis	spa	
foreign	ankylosé	fra	
entry	Anquiroide	0	
orth	Anquiroide	spa	
foreign	ancyroïde	fra	
entry	Ansiedad, ansia	0	
orth	Ansiedad	spa	
orth	Ansia		
foreign	anxiété	fra	
entry	Antagonisme	0	
orth	Antagonisme	spa	
foreign	antagonisme	fra	
entry	Antagonista	0	
orth	Antagonista	spa	
foreign	antagoniste	fra	
entry	Antebrazo	0	
orth	Antebrazo	spa	
foreign	avant-bras	fra	
entry	Antenas	0	
orth	Antenas	spa	
foreign	antennes	fra	
entry	Anteojos	0	
orth	Anteojos	spa	
foreign	lunettes	fra	
entry	Antera	0	
orth	Antera	spa	
foreign	anthère	fra	
entry	Anterior	0	
orth	Anterior	spa	
foreign	antérieur	fra	
entry	Antibraquial	0	
orth	Antibraquial	spa	
foreign	qui tient à l’avant-bras	fra	
entry	Anticaquectico	0	
