object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
entry	Ataxic	0	
orth	Ataxic	eng	
foreign	ataxique	fra	
entry	Athletic	0	
orth	Athletic	eng	
foreign	athlétique	fra	
entry	Atom	0	
orth	Atom	eng	
foreign	atome	fra	
entry	Atonic	0	
orth	Atonic	eng	
foreign	atonique	fra	
entry	Atony	0	
orth	Atony	eng	
foreign	atonie	fra	
entry	Atrabiliary	0	
orth	Atrabiliary	eng	
foreign	atrabilaire	fra	
entry	Atrophy	0	
orth	Atrophy	eng	
foreign	atrophie	fra	
entry	Atypic	0	
orth	Atypic	eng	
foreign	atypique	fra	
entry	Auditory	0	
orth	Auditory	eng	
foreign	auditif	fra	
entry	Automatic	0	
orth	Automatic	eng	
foreign	automatique	fra	
entry	Autoplasty	0	
orth	Autoplasty	eng	
foreign	autoplastie	fra	
entry	Autopsy	0	
orth	Autopsy	eng	
foreign	autopsie	fra	
entry	Autumnal fever	0	
orth	Autumnal fever	eng	
entry	Auxiliary	0	
orth	Auxiliary	eng	
foreign	auxiliaire	fra	
entry	Axillary	0	
orth	Axillary	eng	
foreign	axillaire	fra	
pb	1768	1782	
entry	Axunge	0	
orth	Axunge	eng	
foreign	axonge	fra	
entry	Azotic acid	0	
orth	Azotic acid	eng	
foreign	acide azotique	fra	
entry	Azotized bodies	0	
orth	Azotized bodies	eng	
foreign	corps azotés	fra	
entry	Baldness	0	
orth	Baldness	eng	
foreign	calvitie	fra	
entry	Balloon	0	
orth	Balloon	eng	
foreign	ballon	fra	
entry	Balsam	0	
orth	Balsam	eng	
foreign	baume	fra	
entry	Balsamic	0	
orth	Balsamic	eng	
foreign	balsamique	fra	
entry	Bandy leg	0	
orth	Bandy leg	eng	
entry	Barbadoc’s leg	0	
orth	Barbadoc’s leg	eng	
foreign	éléphantiasis	fra	
entry	Bark	0	
orth	Bark	eng	
foreign	écorce	fra	
entry	Barley	0	
orth	Barley	eng	
foreign	orge	fra	
entry	Barometer	0	
orth	Barometer	eng	
foreign	baromètre	fra	
entry	Bastard pleurisy	0	
orth	Bastard pleurisy	eng	
entry	Bath	0	
orth	Bath	eng	
foreign	bain	fra	
entry	Bdellometer	0	
orth	Bdellometer	eng	
foreign	bdellomètre	fra	
entry	Bean	0	
orth	Bean	eng	
foreign	vesce	fra	
entry	Bean (French)	0	
orth	Bean (French)	eng	
foreign	haricot	fra	
entry	Bellows sound	0	
orth	Bellows sound	eng	
foreign	bruit de soufflet	fra	
entry	Benign	0	
orth	Benign	eng	
foreign	bénin	fra	
