object			
volume	37019	Capuron	1806
orth	Ilio-aponévrotique de la cuisse		
entry	Jlio-costal	0	
orth	Jlio-costal		
entry	Ilio-prétibial	0	
orth	Ilio-prétibial		
entry	ilio-rotulien	0	
orth	ilio-rotulien		
entry	Intercervicaux	0	
orth	Intercervicaux		
entry	Intercostaux	0	
orth	Intercostaux		
entry	Intertrachéliens	0	
orth	Intertrachéliens		
entry	Iskio-coccygien	0	
orth	Iskio-coccygien		
entry	Iskio-fémoral	0	
orth	Iskio-fémoral		
entry	Iskio-fémoro-péronier	0	
orth	Iskio-fémoro-péronier		
entry	Iskio-périnéal	0	
orth	Iskio-périnéal		
entry	Iskio-poplîti-tibial	0	
orth	Iskio-poplîti-tibial		
entry	Iskio-prétibial	0	
orth	Iskio-prétibial		
entry	Iskio-sous-clitorien	0	
orth	Iskio-sous-clitorien		
entry	Iskio-sous-pénien	0	
orth	Iskio-sous-pénien		
entry	Iskio-sous-trokantérien	0	
orth	Iskio-sous-trokantérien		
entry	Iskio-trokantérien	0	
orth	Iskio-trokantérien		
entry	Labial	0	
orth	Labial		
entry	I onibe-abdominai	0	
orth	I onibe-abdominai		
entry	Lombo-costal	0	
orth	Lombo-costal		
entry	1ombo-huméral	0	
orth	1ombo-huméral		
entry	Mastoïdo-génien	0	
orth	Mastoïdo-génien		
entry	Mastoïdo-oriculaire	0	
orth	Mastoïdo-oriculaire		
entry	Maxillo-labial	0	
orth	Maxillo-labial		
pb	443		
entry	maxiuo-scteroticien	0	
orth	maxiuo-scteroticien		
entry	Mento-labial	0	
orth	Mento-labial		
entry	Métacarpo-phalangien du pouce	0	
orth	Métacarpo-phalangien du pouce		
entry	Métacarpo-phalangiens latéraux externes	0	
orth	Métacarpo-phalangiens latéraux externes		
entry	Métacarpo-phalangiens latéraux internes	0	
orth	Métacarpo-phalangiens latéraux internes		
entry	Métatarso-phalangiens latéraux supérieurs	0	
orth	Métatarso-phalangiens latéraux supérieurs		
entry	Métatarso-phalangiens latéraux inférieurs	0	
orth	Métatarso-phalangiens latéraux inférieurs		
entry	Métatarso-sous-phalangien du piemier orteil	0	
orth	Métatarso-sous-phalangien du piemier orteil		
entry	Métatarso-sous-phalanginien transversal du premier orteil	0	
orth	Métatarso-sous-phalanginien transversal du premier orteil		
entry	Métatarso-sous-phalangicn du cinquième orteil	0	
orth	Métatarso-sous-phalangicn du cinquième orteil		
entry	Moyen sus-maxillo-labial	0	
orth	Moyen sus-maxillo-labial		
entry	Mylo-hyoïdien	0	
orth	Mylo-hyoïdien		
entry	Naso-palpébral	0	
orth	Naso-palpébral		
entry	Naso-surdlier	0	
