object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
foreign	alose	fra	
entry	Alphitedon	0	
orth	Alphitedon	lat	
foreign	alphitédon	fra	
foreign	se dit d’une fracture comminutive	fra	
entry	Alphus	0	
orth	Alphus	lat	
foreign	alphos	fra	
entry	Alsine	0	
orth	Alsine	lat	
foreign	morgeline	fra	
foreign	plante	fra	
entry	Alterans	0	
orth	Alterans	lat	
foreign	altérant	fra	
entry	Alteratio	0	
orth	Alteratio	lat	
foreign	altération	fra	
entry	Altercum	0	
orth	Altercum	lat	
foreign	jusquiame	fra	
entry	Althæa	0	
orth	Althæa	lat	
foreign	althée	fra	
entry	Alumen	0	
orth	Alumen	lat	
foreign	alun	fra	
entry	Aluta	0	
orth	Aluta	lat	
foreign	cuir	fra	
entry	Alvearium	0	
orth	Alvearium	lat	
foreign	trou de l’oreille	fra	
entry	Alveolus	0	
orth	Alveolus	lat	
foreign	alvéole	fra	
entry	Alveus ampullascens	0	
orth	Alveus ampullascens	lat	
entry	Alviduca	0	
orth	Alviduca	lat	
foreign	les purgatifs	fra	
entry	Alvinus	0	
orth	Alvinus	lat	
foreign	alvin	fra	
entry	Al vi profluvium	0	
orth	Al vi profluvium	lat	
foreign	cours de ventre	fra	
entry	Alvus	0	
orth	Alvus	lat	
foreign	ventre	fra	
entry	Alysmus	0	
orth	Alysmus	lat	
foreign	anxiété	fra	
entry	Amaracum	0	
orth	Amaracum	lat	
foreign	espèce de marjolaine	fra	
entry	Amarantus	0	
orth	Amarantus	lat	
foreign	amarante	fra	
entry	Amaritudo, amaror	0	
orth	Amaritudo	lat	
orth	amaror	lat	
foreign	amertume	fra	
entry	Amarus	0	
orth	Amarus	lat	
foreign	amer	fra	
entry	Amatoria febris	0	
orth	Amatoria febris	lat	
foreign	chlorose	fra	
entry	Amatorii musculi (Casserius)	0	
orth	Amatorii musculi (Casserius)	lat	
foreign	muscles obliques de l’œil	fra	
entry	Amaurosis	0	
orth	Amaurosis	lat	
foreign	amaurose	fra	
foreign	goutte sereine	fra	
entry	Ambe	0	
orth	Ambe	lat	
foreign	ambe	fra	
foreign	ambi	fra	
entry	Ambloticus	0	
orth	Ambloticus	lat	
foreign	abortif	fra	
entry	Amblyopia	0	
orth	Amblyopia	lat	
foreign	amblyopie	fra	
entry	Ambulatio	0	
orth	Ambulatio	lat	
foreign	caractère serpigineux	fra	
entry	Ambulo, onis	0	
orth	Ambulo, onis	lat	
entry	Ambustio	0	
orth	Ambustio	lat	
foreign	brûlure	fra	
entry	Amenorrhoea	0	
orth	Amenorrhoea	lat	
foreign	aménorrhée	fra	
entry	Amentia	0	
orth	Amentia	lat	
foreign	folie	fra	
entry	Amentum	0	
orth	Amentum	lat	
foreign	chaton	fra	
entry	Amethysta	0	
orth	Amethysta	lat	
foreign	médicaments	fra	
foreign	remèdes contre l’ivresse	fra	
entry	Amiantus	0	
orth	Amiantus	lat	
foreign	amiante	fra	
entry	Ammochosia	0	
orth	Ammochosia	lat	
foreign	bain de sable	fra	
entry	Ammoniacum	0	
orth	Ammoniacum	lat	
foreign	ammoniaque (gomme)	fra	
entry	Amnesia	0	
orth	Amnesia	lat	
foreign	amnésie	fra	
foreign	oubli	fra	
entry	Amnion	0	
orth	Amnion	lat	
foreign	amnios	fra	
entry	Amomum	0	
orth	Amomum	lat	
foreign	amome	fra	
entry	Amphemerina febris	0	
orth	Amphemerina febris	lat	
foreign	fièvre quotidienne	fra	
entry	Amphiarthrosis	0	
orth	Amphiarthrosis	lat	
foreign	amphiarthrose	fra	
entry	Amphibius	0	
orth	Amphibius	lat	
foreign	amphibie	fra	
entry	Amphiblestroides	0	
orth	Amphiblestroides	lat	
foreign	amphiblestroïde	fra	
entry	Amphibranchia	0	
orth	Amphibranchia	lat	
foreign	les parties autour des amygdales	fra	
entry	Amphismile	0	
orth	Amphismile	lat	
foreign	couteau à deux tranchants	fra	
entry	Amphora	0	
orth	Amphora	lat	
foreign	vase à deux anses	fra	
entry	Amplexicaulis	0	
orth	Amplexicaulis	lat	
foreign	amplexicaulc	fra	
entry	Ampulla	0	
orth	Ampulla	lat	
foreign	fiole	fra	
entry	Amputatio	0	
orth	Amputatio	lat	
foreign	amputation	fra	
entry	Amuletum	0	
orth	Amuletum	lat	
foreign	amulette	fra	
entry	Amurca	0	
orth	Amurca	lat	
foreign	marc d’huile	fra	
entry	Amygdala et amygdalum	0	
orth	Amygdala et amygdalum	lat	
foreign	amande	fra	
entry	Amygdalæ	0	
orth	Amygdalæ	lat	
foreign	amygdales	fra	
entry	Amygdalus	0	
orth	Amygdalus	lat	
foreign	amandier	fra	
entry	Amylum	0	
orth	Amylum	lat	
foreign	amidon	fra	
entry	Anabasis	0	
orth	Anabasis	lat	
foreign	exacerbation	fra	
entry	Anabrochismus	0	
orth	Anabrochismus	lat	
foreign	anabrochisme	fra	
entry	Anabrosis	0	
orth	Anabrosis	lat	
foreign	anabrose	fra	
entry	Anacatharsis	0	
orth	Anacatharsis	lat	
foreign	expectoration	fra	
foreign	évacuation par le haut	fra	
entry	Anacatharticus	0	
orth	Anacatharticus	lat	
foreign	anacathartique	fra	
entry	Anacollema	0	
orth	Anacollema	lat	
entry	Anâctorion	0	
orth	Anâctorion	lat	
foreign	glaïeul	fra	
entry	Anadiplosis	0	
orth	Anadiplosis	lat	
entry	Anæmia	0	
orth	Anæmia	lat	
foreign	anémie	fra	
entry	Anæsthesia	0	
orth	Anæsthesia	lat	
foreign	anesthésie	fra	
entry	Anagallis	0	
orth	Anagallis	lat	
foreign	mouron	fra	
entry	Analeptica	0	
orth	Analeptica	lat	
foreign	les analeptiquue	fra	
entry	Analogismus	0	
orth	Analogismus	lat	
foreign	raisonnement par analogie	fra	
entry	Analysis	0	
orth	Analysis	lat	
foreign	analyse	fra	
entry	Anamnesticus	0	
orth	Anamnesticus	lat	
foreign	anamnestique	fra	
foreign	commémoratif	fra	
entry	Anaphonesis	0	
orth	Anaphonesis	lat	
foreign	élévation de la voix	fra	
entry	Anaphrodisia	0	
orth	Anaphrodisia	lat	
foreign	anaphrodisie	fra	
entry	Anaplerosis	0	
orth	Anaplerosis	lat	
foreign	réplétion	fra	
entry	Anarrhopia	0	
orth	Anarrhopia	lat	
foreign	fluxion vers le haut	fra	
entry	Anas	0	
orth	Anas	lat	
foreign	canard	fra	
entry	Anasarca	0	
orth	Anasarca	lat	
foreign	anasarque	fra	
entry	Anastomosis	0	
orth	Anastomosis	lat	
foreign	anastomose	fra	
entry	Anastomotica	0	
orth	Anastomotica	lat	
foreign	médicaments qui ouvrent lespores	fra	
entry	Anastrophe	0	
orth	Anastrophe	lat	
foreign	inversion	fra	
entry	Anatome, anatomia	0	
orth	Anatome	lat	
orth	anatomia	lat	
foreign	anatomie	fra	
entry	Anaudia	0	
orth	Anaudia	lat	
foreign	aphonie	fra	
entry	Anchilops	0	
orth	Anchilops	lat	
foreign	anchilops	fra	
entry	Anchoralis processus	0	
orth	Anchoralis processus	lat	
foreign	apophyse coronoïde	fra	
entry	Anchusa	0	
orth	Anchusa	lat	
foreign	buglosse	fra	
entry	Ancon	0	
orth	Ancon	lat	
foreign	coude	fra	
entry	Anderes	0	
orth	Anderes	lat	
foreign	boucles	fra	
entry	Ancyle	0	
orth	Ancyle	lat	
foreign	ankylosé	fra	
entry	Ancyloblepharum	0	
orth	Ancyloblepharum	lat	
foreign	occlusion des paupières	fra	
entry	Ancyloglossus	0	
orth	Ancyloglossus	lat	
foreign	difficulté de parler	fra	
pb	1709	1723	
entry	Ancylosis	0	
orth	Ancylosis	lat	
foreign	ankylosé	fra	
entry	Ancylotomus	0	
orth	Ancylotomus	lat	
foreign	an cy latome	fra	
entry	Ancyroides	0	
orth	Ancyroides	lat	
foreign	ancyrdide	fra	
entry	Androgynus	0	
orth	Androgynus	lat	
