object			
volume	07399	Castelli	1746
foreign	Assach	ara	
foreign	Usach	ara	
foreign	Tursie	ara	
foreign	Alasceum	ara	
foreign	ἀμμωνιακὸν	grc	
foreign	Ammoniac	fra	
foreign	Ammoniaco	ita	
entry	Amνios	0	
orth	Amνios	lat	
foreign	Abgas	ara	
foreign	ἄμνιος	grc	
foreign	Amnios	fra	
foreign	Amnios	ita	
entry	Amor	0	
orth	Amor	lat	
foreign	Hub	ara	
foreign	Hubba	ara	
foreign	Ischqua	ara	
foreign	Acheb	heb	
foreign	Achabhah	heb	
foreign	Jediduth	heb	
foreign	Dod	heb	
foreign	Amour	fra	
foreign	Amore	ita	
entry	Amphora	0	
orth	Amphora	lat	
foreign	Fagdun	ara	
foreign	ἄμφορα	grc	
foreign	Seau (un)	fra	
foreign	Anfora	ita	
entry	Amuletum	0	
orth	Amuletum	lat	
foreign	Kameah	heb	
foreign	Nechaschim	heb	
foreign	περίαπτον	grc	
foreign	Préservatif	fra	
foreign	Medaglia	ita	
entry	Amygdala, Fructus	0	
orth	Amygdala	lat	
orth	Fructus	lat	
foreign	Lauzi	ara	
foreign	Schekedim	heb	
foreign	ἀμύγδαλα	grc	
foreign	Amande	fra	
foreign	Mandola	ita	
entry	Amygdalæ gulæ, Tonsillæ	0	
orth	Amygdalæ gulæ	lat	
orth	Tonsillæ	lat	
foreign	Gavoni	ara	
foreign	Geuze	ara	
foreign	ἀντιάδες	grc	
foreign	παρίσθμια	grc	
foreign	Glandes de la gueule	fra	
foreign	Ghiande della bocca	ita	
entry	Amylum	0	
orth	Amylum	lat	
foreign	Nesastengi	ara	
foreign	Eluesse	ara	
foreign	Nesa	ara	
foreign	ἄμυλον	grc	
foreign	Amidon	fra	
foreign	Amito	ita	
entry	Anasarca, Leucophlegmatia	0	
orth	Anasarca	lat	
orth	Leucophlegmatia	lat	
foreign	Halahami	ara	
foreign	ἀνασάρκα	grc	
foreign	λευκοφλεγματία	grc	
foreign	Anasarc	fra	
foreign	Anasarca	ita	
entry	Anatomia, Anatomicus	0	
orth	Anatomia	lat	
orth	Anatomicus	lat	
foreign	Tasrich	ara	
foreign	Batot	ara	
foreign	Chacmathannituah	heb	
foreign	ἀνατομία	grc	
foreign	ἀνατομικὸς	grc	
foreign	Anatomie	fra	
foreign	Anatomique	fra	
foreign	Anatomia	ita	
foreign	Anatomico	ita	
entry	Ancylosis	0	
orth	Ancylosis	lat	
foreign	Alachad	ara	
foreign	Alzemena	ara	
foreign	ἀγκύλωσις	grc	
entry	Angina	0	
orth	Angina	lat	
foreign	Dabh	ara	
foreign	Ichtinac	ara	
foreign	Canchuaraich	ara	
foreign	Schinuck	heb	
foreign	Taschnik	heb	
foreign	Machanak	heb	
foreign	συνάγχη	grc	
foreign	κυνάγχη	grc	
foreign	Squinancie	fra	
foreign	Squinancia	ita	
entry	Angor	0	
orth	Angor	lat	
foreign	Madio	ara	
foreign	Corba	ara	
foreign	Cahra	ara	
foreign	Zarah	heb	
foreign	ἀδημονία	grc	
foreign	ἀπορία	grc	
foreign	Angoisse	fra	
foreign	Angoscia	ita	
foreign	Ansietà	ita	
entry	Angulus, Anguli	0	
orth	Angulus	lat	
orth	Anguli	lat	
foreign	Almachiu	ara	
foreign	Almecheni	ara	
foreign	Zavioth	heb	
foreign	Attick	heb	
foreign	Attikim	heb	
foreign	Akas	heb	
foreign	καντὶς	grc	
foreign	καντὸς	grc	
foreign	Angle	fra	
foreign	Coin	fra	
foreign	Coins	fra	
foreign	Cantone	ita	
foreign	Angolo	ita	
entry	Angustia	0	
orth	Angustia	lat	
foreign	Carb	ara	
foreign	Akah	ara	
foreign	Dsic	ara	
foreign	Dica	ara	
foreign	Zeruvjah	heb	
foreign	Zok	heb	
foreign	Zokah	heb	
foreign	Mazok	heb	
foreign	Mezucah	heb	
foreign	στενοχωρία	grc	
foreign	Détroit	fra	
foreign	Angustia	ita	
foreign	Strettezza	ita	
entry	Anhelitus	0	
orth	Anhelitus	lat	
foreign	Fetirat	ara	
foreign	Nacata	ara	
foreign	Nesama	heb	
foreign	δύσπνοια	grc	
foreign	Haleine	fra	
entry	Anima	0	
orth	Anima	lat	
foreign	Nasima	ara	
foreign	Nefs	ara	
foreign	Nefesch	heb	
foreign	Hazomechet	heb	
foreign	Brutalis Habachamit	heb	
foreign	Hachacmah	heb	
foreign	Maskelet	heb	
foreign	Hasaklit	heb	
foreign	ψυχὴ	grc	
foreign	φυσικὴ	grc	
foreign	αἰσθητικὴ	grc	
foreign	λογικὴ	grc	
foreign	Ame	fra	
foreign	Anima	ita	
entry	Animal	0	
orth	Animal	lat	
foreign	Haivan	ara	
foreign	Chajah	heb	
foreign	Ζῷον	grc	
foreign	Animal	fra	
foreign	Bête	fra	
foreign	Animale	ita	
entry	Animalis facultas	0	
orth	Animalis facultas	lat	
foreign	Alcessenie	ara	
foreign	Nafsani	ara	
entry	Animus	0	
orth	Animus	lat	
clique	Mens		
foreign	Dsamir	ara	
foreign	Nafs	ara	
foreign	Nefesch Levavh	heb	
foreign	νοῦς	grc	
foreign	Cœur	fra	
foreign	Courage	fra	
foreign	Animo	ita	
entry	Annularis	0	
orth	Annularis	lat	
foreign	κρικοειδὴς	fra	
entry	Annulus	0	
orth	Annulus	lat	
foreign	Tabi	ara	
foreign	Tabbaath	heb	
foreign	δακτυλίδιον	grc	
foreign	Anneau	fra	
foreign	Anello	ita	
entry	Annus	0	
orth	Annus	lat	
foreign	Sanah	ara	
foreign	Ohm	ara	
foreign	Jamim	heb	
foreign	Schanah	heb	
foreign	ἔτος	grc	
foreign	ἐνιαυτὸς	grc	
foreign	An	fra	
foreign	Année	fra	
foreign	Anno	ita	
entry	Anthrax	0	
orth	Anthrax	lat	
foreign	Althoni	ara	
foreign	Thaun	ara	
foreign	Bathara	ara	
foreign	Gamra	ara	
foreign	Reschef	heb	
foreign	ἄνθραξ	grc	
foreign	Antrach	fra	
foreign	Charbon	fra	
foreign	Carbone	ita	
foreign	Carboncello	ita	
entry	Anticipatio	0	
orth	Anticipatio	lat	
foreign	Taqdim	ara	
foreign	Taqdema	ara	
foreign	Hacdaman	heb	
foreign	τὸ προλαμβάνειν	grc	
foreign	πρόληψις	grc	
foreign	Anticipation	fra	
foreign	Prévention	fra	
foreign	Anticipazione	ita	
pb	765	0773	
entry	Antimonium	0	
orth	Antimonium	lat	
foreign	Alenut	ara	
foreign	Efieret	ara	
foreign	Atemet	ara	
foreign	Cohol	ara	
foreign	Aitmad	ara	
foreign	Serap	ara	
foreign	Puk	heb	
foreign	στίβι	grc	
foreign	στίμμι	grc	
foreign	Antimoine	fra	
foreign	Antimonio	ita	
entry	Antipathia	0	
orth	Antipathia	lat	
foreign	Muchalafa	ara	
foreign	lchtilef	ara	
foreign	Hef	ara	
foreign	Hefech	ara	
foreign	ἀντιπάθεια	grc	
foreign	Antipatie	fra	
foreign	Contrarietà	ita	
foreign	Repugnanza	ita	
entry	Anus, Podex	0	
orth	Anus	lat	
orth	Podex	lat	
foreign	Dubar	ara	
foreign	Charc	ara	
foreign	Parschedonah	heb	
foreign	ἀρχὸς	grc	
foreign	Culo	ita	
entry	Anus foeminafemina	0	
orth	Anus femina	lat	
foreign	Kehel	ara	
foreign	Scheabh	ara	
foreign	Dsekenah	heb	
foreign	γραῦς	grc	
foreign	Vecchia	ita	
entry	Aorta arteria	0	
orth	Aorta arteria	lat	
foreign	Orichi	ara	
foreign	Schir jan	heb	
foreign	ἀορτὴ	grc	
foreign	Artére aorte	fra	
foreign	Arteria grande	ita	
entry	Aperiens, Apertio	0	
orth	Aperiens	lat	
orth	Apertio	lat	
foreign	Fataha	ara	
foreign	Fagar	ara	
foreign	Pitahon	heb	
foreign	Miphtach	heb	
foreign	ἀναστομωτικὸν	grc	
foreign	ἀναστόμωσις	grc	
foreign	Ouverture	fra	
foreign	Apertura	ita	
foreign	Apriente	ita	
entry	Aphtha	0	
orth	Aphtha	lat	
foreign	Alcola	ara	
foreign	ἄφθη	grc	
entry	Apoplexia	0	
orth	Apoplexia	lat	
foreign	Sacrah	ara	
foreign	Mascut	ara	
foreign	Schetuc	heb	
foreign	Baal	heb	
foreign	Haschituc	heb	
foreign	ἀποπλεξία	grc	
foreign	Apoplexie	fra	
foreign	Apoplessia	ita	
entry	Apostema	0	
orth	Apostema	lat	
foreign	Hacar	ara	
foreign	Dubellati	ara	
foreign	Alcosbat	ara	
foreign	Alliatan	ara	
foreign	Veram	ara	
foreign	Buach	heb	
foreign	Bach	heb	
foreign	Safachat	heb	
foreign	Chaburah	heb	
foreign	Schechin	heb	
foreign	ἀπόστημα	grc	
foreign	Apostume	fra	
foreign	Postema	ita	
entry	Appendix	0	
orth	Appendix	lat	
foreign	Zan	heb	
foreign	Zin	heb	
foreign	ἐπίφυσις	grc	
foreign	Accessoire	fra	
foreign	Dépendance	fra	
foreign	Giunta	ita	
entry	Appetitus	0	
orth	Appetitus	lat	
foreign	Temeni	ara	
foreign	Chemed	heb	
foreign	Chemedah	heb	
foreign	Teschucah	heb	
foreign	Taapvah	heb	
foreign	ὄρεξις	grc	
foreign	Appetit	fra	
foreign	Convoitise	fra	
foreign	Appetito	ita	
foreign	Brama	ita	
entry	Appositio	0	
orth	Appositio	lat	
clique	Additio		
entry	Apprehensio	0	
orth	Apprehensio	lat	
foreign	Achdah	ara	
foreign	Achdet	ara	
foreign	Sig	heb	
foreign	Tisso	heb	
foreign	ἀντίληψις	grc	
foreign	Appréhension	fra	
entry	Appropriatio	0	
orth	Appropriatio	lat	
foreign	Jichud	heb	
foreign	προσοικείωσις	grc	
foreign	Appropriation	fra	
foreign	Appropriazione	ita	
entry	Aqua	0	
orth	Aqua	lat	
foreign	Ma	ara	
foreign	Maim	heb	
foreign	ὕδωρ	grc	
foreign	Eau	fra	
foreign	Acqua	ita	
entry	Aquatile	0	
orth	Aquatile	lat	
foreign	Mei	ara	
foreign	Memi	heb	
foreign	ἔνυδρον	grc	
foreign	Aquatique	fra	
foreign	Acquatico	ita	
entry	Aqueus, Aquosus	0	
orth	Aqueus	lat	
orth	Aquosus	lat	
foreign	Mai	ara	
foreign	Mamavi	ara	
foreign	Memi	heb	
foreign	ὑδάτινος	grc	
foreign	Acquoso	ita	
entry	Araneus	0	
orth	Araneus	lat	
foreign	Anchabuta	ara	
foreign	Hanchebut	ara	
foreign	Ratla	ara	
foreign	Anquib	ara	
foreign	Habbavitch	heb	
foreign	Matvajaah	heb	
foreign	Semamit	heb	
foreign	ἀράχνη	grc	
foreign	Araignée	fra	
foreign	Aragno	ita	
foreign	Ragno	ita	
entry	Arcanum secretum	0	
orth	Arcanum secretum	lat	
foreign	Chafi	ara	
foreign	Chafiat	ara	
foreign	Sirr	ara	
foreign	Sarra	ara	
foreign	Raz	heb	
foreign	Sod	heb	
foreign	Lot	heb	
foreign	Laot	heb	
foreign	ἀπόῤῥητον μυστήριον	grc	
foreign	Secret	fra	
foreign	Secreto	ita	
entry	Archiater	0	
orth	Archiater	lat	
foreign	Mutequadim	ara	
foreign	Rabb Ase	heb	
foreign	Measse	heb	
foreign	ἀρχίατρος	grc	
foreign	Archiatro	ita	
entry	Ardor	0	
orth	Ardor	lat	
foreign	Vaed	ara	
foreign	Vaed	ara	
foreign	Taucad	ara	
foreign	Jecod	heb	
foreign	Chari	heb	
foreign	Charon	heb	
foreign	καῦμα	grc	
foreign	Ardeur	fra	
foreign	Ferveur	fra	
foreign	Ardore	ita	
entry	Area	0	
orth	Area	lat	
foreign	Tyria	ara	
foreign	Bidad	ara	
foreign	Goren	heb	
foreign	Iddar	heb	
foreign	ὀφίασις	grc	
foreign	Chauveté	fra	
foreign	Area	ita	
entry	Arena	0	
orth	Arena	lat	
foreign	Horeb	ara	
foreign	Ramal	ara	
foreign	Chol	heb	
foreign	ψάμμος	grc	
foreign	ἄμμος	grc	
foreign	Sable	fra	
foreign	Gravier	fra	
foreign	Arena	ita	
foreign	Rena	ita	
foreign	Sabbia	ita	
entry	Argentum	0	
orth	Argentum	lat	
foreign	Fada	ara	
foreign	Kesef	heb	
foreign	Syma	heb	
foreign	ἄργυρος	grc	
foreign	Argent	fra	
foreign	Argento	ita	
entry	Argentum vivum, Hydrargyrum	0	
orth	Argentum vivum	lat	
orth	Hydrargyrum	lat	
foreign	Agricos	ara	
foreign	Zibach	ara	
foreign	Zevec	ara	
foreign	ὑδράργυρος	grc	
foreign	Argent vif	fra	
foreign	Argento vivo	ita	
entry	Argilla	0	
