object			
entry	Aimant	0	
orth	Aimant		
foreign	adaJnas	lat	
entry	Aimanter	0	
orth	Aimanter		
entry	Aine	0	
orth	Aine		
foreign	inguen	lat	
entry	Air	1	
orth	Air		
foreign	aër	lat	
pb	11		
entry	Airain	0	
orth	Airain		
foreign	œs	lat	
foreign	œris	lat	
entry	Aire	0	
orth	Aire		
foreign	area	lat	
entry	Aisselle	0	
orth	Aisselle		
foreign	axilla	lat	
foreign	al.a	lat	
entry	Aitiologie	0	
orth	Aitiologie		
foreign	oetiologia	lat	
entry	Ajuster	0	
orth	Ajuster		
foreign	adaequare	lat	
entry	Ajutage, Ajutoir	0	
orth	Ajutage		
orth	Ajutoir		
entry	Alambic	0	
orth	Alambic		
foreign	alambicus	lat	
entry	Albâtre	0	
orth	Albâtre		
foreign	alabastrum	lat	
entry	Albuginé	0	
orth	Albuginé		
foreign	alhugineus	lat	
entry	Albugineux	0	
orth	Albugineux		
foreign	albuginosus	lat	
entry	Albugo	0	
orth	Albugo		
foreign	d'albiIs	lat	
entry	Albumin	0	
orth	Albumin		
foreign	albumen	lat	
entry	Albumine	1	
orth	Albumine		
foreign	alburneti	lat	
pb	12		
entry	Albumineux	0	
orth	Albumineux		
foreign	albuminosus	lat	
entry	Alcahest, Alkaest, Alcaest	0	
orth	Alcahest		
orth	Alkaest		
orth	Alcaest		
entry	Alcalescence	0	
orth	Alcalescence		
entry	Alcalescent	0	
orth	Alcalescent		
entry	Alcali, Alkali	0	
orth	Alcali		
orth	Alkali		
entry	Alcaligène	0	
orth	Alcaligène		
foreign	alcaligenus	lat	
entry	Alcalin	0	
orth	Alcalin		
foreign	alcalinus	lat	
entry	Alcalisation	0	
orth	Alcalisation		
foreign	alcalisatio	lat	
entry	Alcaliser	0	
orth	Alcaliser		
foreign	alcalisare	lat	
entry	Alchimie	0	
orth	Alchimie		
foreign	alchymia	lat	
entry	Alcohol	0	
orth	Alcohol		
entry	Alcyon	0	
orth	Alcyon		
entry	Alcyonien	0	
orth	Alcyonien		
foreign	alcyoneus	lat	
entry	Alectorienne	0	
orth	Alectorienne		
entry	Alectrides	0	
orth	Alectrides		
entry	Aléné	0	
orth	Aléné		
clique	Subulé		
entry	Alèse, Alèze	0	
orth	Alèse		
orth	Alèze		
foreign	linteum	lat	
pb	13		
entry	Alexipharmaque	0	
orth	Alexipharmaque		
