object			
entry	Opopyron	0	
orth	Opopyron	lat	
entry	Opore	0	
orth	Opore	lat	
entry	Oporige	0	
orth	Oporige	lat	
entry	Opos	0	
orth	Opos	lat	
entry	Oppilatio	0	
orth	Oppilatio	lat	
entry	Oprimechiolium	0	
orth	Oprimechiolium	lat	
entry	Opsigonos	0	
orth	Opsigonos	lat	
entry	Opsis	0	
orth	Opsis	lat	
entry	Ops	0	
orth	Ops	lat	
entry	Opsomanes	0	
orth	Opsomanes	lat	
entry	Opson	0	
orth	Opson	lat	
entry	Opulus	0	
orth	Opulus	lat	
entry	Opuntia	1	
orth	Opuntia	lat	
pb	181	0093	
entry	Opuntioides	0	
orth	Opuntioides	lat	
entry	Oquichithi	0	
orth	Oquichithi	lat	
entry	Orbiculare os	0	
orth	Orbiculare os	lat	
entry	Orbicularis	0	
orth	Orbicularis	lat	
entry	Orbicularis musculus	0	
orth	Orbicularis musculus	lat	
entry	Orbis	0	
orth	Orbis	lat	
entry	Orbita	0	
orth	Orbita	lat	
entry	Orca	0	
orth	Orca	lat	
entry	Orchea	0	
orth	Orchea	lat	
entry	Orchestæ acopon	0	
orth	Orchestæ acopon	lat	
entry	Orchilus	0	
orth	Orchilus	lat	
entry	Orchis	2	
orth	Orchis	lat	
pb	183	0094	
pb	185	0095	
entry	Orchos	0	
orth	Orchos	lat	
entry	Orchotomia	0	
orth	Orchotomia	lat	
entry	Oregioella	0	
orth	Oregioella	lat	
entry	Orellana	0	
orth	Orellana	lat	
entry	Oreoselinum	0	
orth	Oreoselinum	lat	
entry	Orestia	0	
orth	Orestia	lat	
entry	Orestion	1	
orth	Orestion	lat	
pb	187	0096	
entry	Orexis	0	
orth	Orexis	lat	
entry	Orgasmus	0	
orth	Orgasmus	lat	
entry	Oribasius	1	
orth	Oribasius	lat	
pb	189	0097	
entry	Orichalcum	0	
orth	Orichalcum	lat	
entry	Oricia	0	
orth	Oricia	lat	
entry	Oricularis	0	
orth	Oricularis	lat	
entry	Origanites	0	
orth	Origanites	lat	
