object			
volume	00216x03	James Diderot & al.	{date}
entry	CATHEAUTONPERAS	0	
orth	Catheautonperas	lat	
entry	CATHECTICE	0	
orth	Cathectice	lat	
entry	CATHEDRA	0	
orth	Cathedra	lat	
entry	CATHEMERINOS	0	
orth	Cathemerinos	lat	
entry	CATHESTECOS	0	
orth	Cathestecos	lat	
entry	CATHETER	0	
orth	Catheter	lat	
entry	CATHETERISMUS	3	
orth	Catheterismus	lat	
pb	187	0100	
pb	189	0101	
clique	Planche II.sig		
pb	191	0102	
clique	Planch. III. Fig		
entry	CATHIDRYSIS	0	
orth	Cathidrysis	lat	
entry	CATHIMIA	0	
orth	Cathimia	lat	
clique	Cadmia		
entry	CATHMIA AFFIDIA	0	
orth	Cathmia affidia	lat	
clique	Cadmia		
entry	CATHOCHITES	0	
orth	Cathochites	lat	
clique	Catochites		
entry	CATHODOS	0	
orth	Cathodos	lat	
entry	CATHOLCEUS	1	
orth	Catholceus	lat	
pb	193	0103	
clique	Periseepastrum		
entry	CATHOLICUS	0	
orth	Catholicus	lat	
entry	CATHYGROS	0	
orth	Cathygros	lat	
entry	CATHYPNIA	0	
orth	Cathypnia	lat	
entry	CATILLIA	0	
orth	Catillia	lat	
entry	CATILLUS CINEREUS, OBRUSÆ CATILLUS	0	
orth	Catillus cinereus	lat	
orth	Obrusæ catillus	lat	
clique	Capella		
entry	CATIMIA	0	
orth	Catimia	lat	
clique	Cad.mia		
entry	CATINUM ALUMEN	0	
orth	Catinum alumen	lat	
entry	CATINUS FUSORIUS	0	
orth	Catinus fusorius	lat	
clique	Cruribulum		
entry	CATISCHON	0	
orth	Catischon	lat	
entry	CATMA	0	
orth	Catma	lat	
entry	CATOBLECTA ANIMALIA	0	
orth	Catoblecta animalia	lat	
entry	CATOBLEPAS, CATOBLEPON	0	
orth	Catoblepas	lat	
orth	Catoblepon	lat	
entry	CATOCATHARTICA	0	
orth	Catocathartica	lat	
entry	CATOCHE	0	
orth	Catoche	lat	
clique	Catalepsis		
entry	CATOCHEILON	0	
orth	Catocheilon	lat	
entry	CATOCHITES	0	
orth	Catochites	lat	
entry	CATODON	0	
orth	Catodon	lat	
entry	CATOECIDIOS	0	
orth	Catoecidios	lat	
entry	CATOMISMOS	0	
orth	Catomismos	lat	
entry	CATOPTER	0	
orth	Catopter	lat	
clique	Speculum		
entry	CATORCHITES	0	
orth	Catorchites	lat	
entry	CATORETICA	0	
orth	Catoretica	lat	
entry	CATOXYS	0	
orth	Catoxys	lat	
entry	CATROBIL	0	
orth	Catrobil	lat	
entry	CATTU-SCHIRAGAM	0	
orth	Cattu-schiragam	lat	
entry	CATULOTICA	0	
orth	Catulotica	lat	
entry	CATULUS	0	
orth	Catulus	lat	
clique	Inlus		
clique	Canis		
entry	CATUS	1	
orth	Catus	lat	
pb	195	0104	
entry	CAVA VENA	0	
orth	Cava vena	lat	
entry	CAVALAM	0	
orth	Cavalam	lat	
entry	CAUCAFON, MOLY INDICUM	0	
orth	Caucafon	lat	
orth	Moly indicum	lat	
entry	CAUCALIS	0	
orth	Caucalis	lat	
entry	CAUCALOIDES	0	
orth	Caucaloides	lat	
entry	CAUCIUM	0	
orth	Caucium	lat	
entry	CAUDA	0	
orth	Cauda	lat	
clique	Eqielsetum		
entry	CAUDATIO	0	
orth	Caudatio	lat	
entry	CAUDEX, STIPES, TRUNCUS	0	
orth	Caudex	lat	
orth	Stipes	lat	
orth	Truncus	lat	
entry	CAVERNA	0	
orth	Caverna	lat	
entry	CAVIARIUM	0	
orth	Caviarium	lat	
entry	CAVICULA, CAVILLA	0	
orth	Cavicula	lat	
orth	Cavilla	lat	
entry	CAULEDON	0	
orth	Cauledon	lat	
entry	CAULIAS	1	
orth	Caulias	lat	
clique	Braissica		
pb	197	0105	
entry	CAULOTON	0	
orth	Cauloton	lat	
entry	CAUMA	0	
orth	Cauma	lat	
entry	CAUNGA	0	
orth	Caunga	lat	
clique	Areca		
entry	CAUSA	0	
orth	Causa	lat	
entry	CAUSIS	0	
orth	Causis	lat	
entry	CAUSODES FEBRIS	0	
orth	Causodes febris	lat	
clique	Causus		
entry	CAUSTICA	12	
orth	Caustica	lat	
pb	199	0106	
pb	201	0107	
pb	203	0108	
pb	205	0109	
pb	207	0110	
pb	209	0111	
pb	211	0112	
pb	213	0113	
pb	215	0114	
pb	217	0115	
pb	219	0116	
pb	221	0117	
entry	CAUSUS	7	
orth	Causus	lat	
pb	223	0118	
pb	225	0119	
pb	227	0120	
pb	229	0121	
pb	231	0122	
pb	233	0123	
pb	235	0124	
entry	CAUTERES-AQUÆ	1	
orth	Cauteres-aquæ	lat	
pb	237	0125	
entry	CAUTERISATIO	0	
orth	Cauterisatio	lat	
entry	CAUTERIUM	0	
orth	Cauterium	lat	
clique	Caustica		
entry	CAVUS	0	
orth	Cavus	lat	
clique	Cella		
entry	CAYMANES	0	
orth	Caymanes	lat	
clique	Crocodilus		
entry	CEANOTHOS	0	
orth	Ceanothos	lat	
entry	CEASMA	0	
orth	Ceasma	lat	
entry	CEBI GALLINÆ	0	
orth	Cebi gallinæ	lat	
entry	CEBI-PIRA	0	
orth	Cebi-pira	lat	
entry	CEBUS	0	
orth	Cebus	lat	
entry	CECIS	0	
orth	Cecis	lat	
clique	Qiercus		
entry	CECRYPHALOS	0	
orth	Cecryphalos	lat	
entry	CEDMATA	0	
orth	Cedmata	lat	
entry	CEDRÆLEUM	0	
orth	Cedræleum	lat	
clique	Cedrias		
entry	CEDRELATUM	0	
orth	Cedrelatum	lat	
entry	CEDRIA	1	
orth	Cedria	lat	
pb	239	0126	
clique	ambra		
entry	CEDRINUM VINUM	1	
orth	Cedrinum vinum	lat	
pb	241	0127	
entry	CEDRIS	0	
orth	Cedris	lat	
entry	CEDRITES	0	
orth	Cedrites	lat	
entry	CEDRO	0	
orth	Cedro	lat	
entry	CEDROMELLA	0	
orth	Cedromella	lat	
entry	CEDRONELLA	0	
orth	Cedronella	lat	
entry	CEDRUS	1	
orth	Cedrus	lat	
pb	243	0128	
entry	CEDUE	0	
orth	Cedue	lat	
entry	CEDURINI	0	
orth	Cedurini	lat	
entry	CEIRIÆ	0	
orth	Ceiriæ	lat	
entry	CELASTRUS	0	
orth	Celastrus	lat	
clique	Alaternus		
entry	CELATUS AER	0	
orth	Celatus aer	lat	
entry	CELE	0	
orth	Cele	lat	
entry	CELERY	0	
orth	Celery	lat	
entry	CELIFOLI	0	
orth	Celifoli	lat	
clique	Cœllu		
entry	CELIS	0	
orth	Celis	lat	
entry	CELLA	0	
orth	Cella	lat	
entry	CELLULA	0	
orth	Cellula	lat	
entry	CELLULOSA MEMBRANA	1	
orth	Cellulosa membrana	lat	
pb	245	0129	
entry	CELSA	0	
orth	Celsa	lat	
entry	CELSUS	0	
orth	Celsus	lat	
entry	CELTIS	0	
orth	Celtis	lat	
entry	CEMBRO	0	
orth	Cembro	lat	
entry	CEMENTATIO	0	
orth	Cementatio	lat	
entry	CEMENTERIUM	0	
orth	Cementerium	lat	
entry	CEMENTUM	0	
orth	Cementum	lat	
clique	Caementum		
entry	CENCHRAMIS	1	
orth	Cenchramis	lat	
pb	247	0130	
entry	CENCHRIAS	0	
orth	Cenchrias	lat	
entry	CENCHRITES, ACONTIAS	0	
orth	Cenchrites	lat	
orth	Acontias	lat	
entry	CENCHROS	0	
orth	Cenchros	lat	
entry	CENEANGIA	0	
orth	Ceneangia	lat	
entry	CENEBRIA	0	
orth	Cenebria	lat	
entry	CENEONES	0	
orth	Ceneones	lat	
entry	CENIFICATUM	0	
orth	Cenificatum	lat	
entry	CENIGDAM	0	
orth	Cenigdam	lat	
clique	Cenlplam		
entry	CENIOTEMIUM	0	
orth	Ceniotemium	lat	
entry	CENIPLAM, CENIGDAM, CENIGOTAM, CENIPOLAM	0	
orth	Ceniplam	lat	
orth	Cenigdam	lat	
orth	Cenigotam	lat	
orth	Cenipolam	lat	
entry	CENOSIS	0	
orth	Cenosis	lat	
entry	CENTAURIUM MAJUS	1	
orth	Centaurium majus	lat	
pb	249	0131	
term	CENTAURIUM MINUS		
clique	CENTAURIUM MINUS		
entry	CENTIMORBIA, NUMMULARIA	0	
orth	Centimorbia	lat	
orth	Nummularia	lat	
entry	CENTINERVIA	0	
orth	Centinervia	lat	
clique	Plantage		
entry	CENTINODIA, POLYGONUM	0	
orth	Centinodia	lat	
orth	Polygonum	lat	
entry	CENTRATIO	0	
orth	Centratio	lat	
entry	CENTRION	0	
orth	Centrion	lat	
entry	CENTRUM	1	
orth	Centrum	lat	
pb	251	0132	
entry	CENTUM CELLIS	0	
orth	Centum cellis	lat	
entry	CENTUNCULUS, ALSINE	0	
orth	Centunculus	lat	
orth	Alsine	lat	
clique	Alsine		
entry	CEPA	0	
orth	Cepa	lat	
entry	CEPÆA	0	
orth	Cepæa	lat	
entry	CEPASTRUM	0	
orth	Cepastrum	lat	
clique	Allium		
entry	CEPHALÆA	0	
orth	Cephalæa	lat	
entry	CEPHALALGIA	9	
orth	Cephalalgia	lat	
pb	253	0133	
pb	255	0134	
pb	257	0135	
pb	259	0136	
pb	261	0137	
pb	263	0138	
pb	265	0139	
pb	267	0140	
pb	269	0141	
entry	CEPHALARTICA	0	
orth	Cephalartica	lat	
entry	CEPHALE	0	
orth	Cephale	lat	
clique	Caput		
entry	CEPHALICUS	2	
orth	Cephalicus	lat	
pb	271	0142	
pb	273	0143	
entry	CEPHALINE	0	
orth	Cephaline	lat	
entry	CEPHALOIDES	0	
orth	Cephaloides	lat	
entry	CEPHALONOSOS	0	
orth	Cephalonosos	lat	
entry	CEPHALO-PHARINGÆUS	0	
orth	Cephalo-pharingæus	lat	
clique	Pharinx		
entry	CEPHALOPONIA	0	
orth	Cephaloponia	lat	
entry	CEPHALOS	0	
orth	Cephalos	lat	
entry	CEPHALOTOS	0	
orth	Cephalotos	lat	
clique	Capitatae		
entry	CEPHALOTROTOS	0	
orth	Cephalotrotos	lat	
entry	CEPINI	0	
orth	Cepini	lat	
entry	CEPULA	0	
orth	Cepula	lat	
entry	CERA	1	
orth	Cera	lat	
pb	275	0144	
entry	CERÆÆ	0	
orth	Cerææ	lat	
entry	CERAGO	0	
orth	Cerago	lat	
entry	CERAMICE, CERAMITIS	0	
orth	Ceramice	lat	
orth	Ceramitis	lat	
entry	CERAMIUM	0	
orth	Ceramium	lat	
entry	CERAMOS	0	
orth	Ceramos	lat	
entry	CERANITES	0	
orth	Ceranites	lat	
entry	CERANTHEMUS	0	
orth	Ceranthemus	lat	
clique	Propolis 8e Ambra		
entry	CERARE	0	
orth	Cerare	lat	
entry	CERAS	0	
orth	Ceras	lat	
clique	Cornu		
entry	CERASIATUM	0	
orth	Cerasiatum	lat	
entry	CERASION	0	
orth	Cerasion	lat	
clique	Cerasus		
entry	CERASIOS	0	
orth	Cerasios	lat	
entry	CERASMA	0	
orth	Cerasma	lat	
entry	CERASTES	0	
orth	Cerastes	lat	
entry	CERASUS	1	
orth	Cerasus	lat	
pb	277	0145	
clique	Aqua		
entry	CERATIA	0	
orth	Ceratia	lat	
clique	Caroba		
entry	CERATIO	0	
orth	Ceratio	lat	
entry	CERATITES	0	
orth	Ceratites	lat	
entry	CERATITIS	0	
orth	Ceratitis	lat	
entry	CERATIUM	0	
orth	Ceratium	lat	
clique	Carata		
entry	CERATOGLOSSUS	1	
orth	Ceratoglossus	lat	
pb	279	0146	
entry	CERATOIDES	0	
