object			
volume	37019	Capuron	1806
foreign	aérification	fra	
entry	Aëricus	0	
orth	Aëricus	lat	
foreign	aérien	fra	
entry	Aërologia	0	
orth	Aërologia	lat	
foreign	aérologie	fra	
entry	Aërometria	0	
orth	Aërometria	lat	
foreign	aérométrie	fra	
entry	Aërometrum	0	
orth	Aërometrum	lat	
foreign	aéromètre	fra	
entry	Aëronauta	0	
orth	Aëronauta	lat	
foreign	aéronaute	fra	
entry	Aërophobia	0	
orth	Aërophobia	lat	
foreign	aérophobie	fra	
entry	Aërophobus	0	
orth	Aërophobus	lat	
foreign	aérophobe	fra	
entry	Aërostaticus	0	
orth	Aërostaticus	lat	
foreign	aérostatique	fra	
entry	Ærugineus, Œruginosus	0	
orth	Ærugineus	lat	
orth	Œruginosus	lat	
foreign	érugineux	fra	
entry	Ærugo	0	
orth	Ærugo	lat	
foreign	rouille	fra	
entry	Æs	0	
orth	Æs	lat	
foreign	airain	fra	
entry	Æstas	0	
orth	Æstas	lat	
foreign	été	fra	
entry	Æstivalis	0	
orth	Æstivalis	lat	
foreign	d’été	fra	
entry	Æstuatio	0	
orth	Æstuatio	lat	
foreign	effervescence	fra	
entry	Ætas	0	
orth	Ætas	lat	
foreign	âge	fra	
entry	Æther	0	
orth	Æther	lat	
foreign	éther	fra	
entry	Æthiops	0	
orth	Æthiops	lat	
foreign	æthiops	fra	
entry	Ætiologia	0	
orth	Ætiologia	lat	
foreign	étiologie	fra	
entry	Ætites	0	
orth	Ætites	lat	
foreign	ætite	fra	
entry	Affectio, Affectus	0	
orth	Affectio	lat	
orth	Affectus	lat	
foreign	affection	fra	
entry	Affinitas	0	
orth	Affinitas	lat	
foreign	affinité	fra	
entry	Affluentia	0	
orth	Affluentia	lat	
foreign	affluence	fra	
entry	Affusio	0	
orth	Affusio	lat	
foreign	affusion	fra	
entry	Agalactia	0	
orth	Agalactia	lat	
foreign	agalactie	fra	
entry	Agamia	0	
orth	Agamia	lat	
foreign	agamie	fra	
entry	Agamus	0	
orth	Agamus	lat	
foreign	agame	fra	
entry	Agens	0	
orth	Agens	lat	
foreign	agent	fra	
entry	Ageometria	0	
orth	Ageometria	lat	
foreign	agéométrie	fra	
entry	Agerasia	0	
orth	Agerasia	lat	
foreign	agérasie	fra	
entry	Agere	0	
orth	Agere	lat	
foreign	agir	fra	
entry	Aggravare	0	
orth	Aggravare	lat	
foreign	aggraver	fra	
entry	Aggregatus	0	
orth	Aggregatus	lat	
foreign	aggrégé	fra	
entry	Agitatio	0	
orth	Agitatio	lat	
foreign	agitation	fra	
entry	Agonia	0	
orth	Agonia	lat	
foreign	agonie	fra	
foreign	angoisse	fra	
entry	Agonia	0	
orth	Agonia	lat	
foreign	stérilité	fra	
entry	Agonostica	0	
orth	Agonostica	lat	
foreign	agonostique	fra	
pb	369	0385	
entry	Agonus	0	
orth	Agonus	lat	
foreign	stérile	fra	
entry	Agrestis	0	
orth	Agrestis	lat	
foreign	agreste	fra	
entry	Agria	0	
orth	Agria	lat	
foreign	agrie	fra	
entry	Agricultura	0	
orth	Agricultura	lat	
foreign	agriculture	fra	
entry	Agriophagus	0	
orth	Agriophagus	lat	
foreign	agriophage	fra	
entry	Agronomus	0	
orth	Agronomus	lat	
foreign	agronome	fra	
entry	Agrypnia	0	
orth	Agrypnia	lat	
foreign	agrypnie	fra	
entry	Agyrta	0	
orth	Agyrta	lat	
foreign	charlatan	fra	
entry	Ala	0	
orth	Ala	lat	
foreign	aisselle	fra	
entry	Alabastrum	0	
orth	Alabastrum	lat	
foreign	albâtre	fra	
entry	Alambicus	0	
orth	Alambicus	lat	
foreign	alambic	fra	
entry	Albaras alba	0	
orth	Albaras alba	lat	
foreign	leucé	fra	
entry	Albaras nigra	0	
orth	Albaras nigra	lat	
foreign	lèpre	fra	
entry	Albatio	0	
orth	Albatio	lat	
foreign	déalbation	fra	
entry	Albificatio	0	
orth	Albificatio	lat	
foreign	albification	fra	
foreign	déalbation	fra	
entry	Albugineus	0	
orth	Albugineus	lat	
foreign	albuginé	fra	
entry	Albuginosus	0	
orth	Albuginosus	lat	
foreign	albugineux	fra	
entry	Albugo	0	
orth	Albugo	lat	
foreign	albugo	fra	
entry	Albumen	0	
orth	Albumen	lat	
foreign	albumin	fra	
entry	Albuminosus	0	
orth	Albuminosus	lat	
foreign	albumineux	fra	
entry	Alburnum	0	
orth	Alburnum	lat	
foreign	aubier	fra	
entry	Alcaest	0	
orth	Alcaest	lat	
foreign	alcaest	fra	
entry	Alcalescentia	0	
orth	Alcalescentia	lat	
foreign	alcalescence	fra	
entry	Alcalescens	0	
orth	Alcalescens	lat	
foreign	alcalescent	fra	
entry	Alcaligenus	0	
orth	Alcaligenus	lat	
foreign	alcaligène	fra	
entry	Alcalinus	0	
orth	Alcalinus	lat	
foreign	alcalin	fra	
entry	Alcalisare	0	
orth	Alcalisare	lat	
foreign	alcaliser	fra	
entry	Alcali	0	
orth	Alcali	lat	
foreign	alcali	fra	
entry	Alcalisatio	0	
orth	Alcalisatio	lat	
foreign	alcalisation	fra	
entry	Alcea	0	
orth	Alcea	lat	
foreign	mauve	fra	
foreign	guimauve	fra	
entry	Alchemia	0	
orth	Alchemia	lat	
foreign	alchimie	fra	
entry	Alchymia	0	
orth	Alchymia	lat	
foreign	alchimie	fra	
entry	Alcohol	0	
orth	Alcohol	lat	
foreign	alcohol	fra	
entry	Alcyoneus	0	
orth	Alcyoneus	lat	
foreign	alcyonien	fra	
entry	Alcyonides	0	
orth	Alcyonides	lat	
foreign	alcyonien	fra	
entry	Alectrides	0	
orth	Alectrides	lat	
foreign	alectrides	fra	
entry	Alembicus	0	
orth	Alembicus	lat	
