object			
volume	37020d	Littré-Robin (1865-1873)	1873
foreign	ὑλακὴ	grc	
term	Aboiement humain		
clique	Aboiement humain | Névrophonie		
entry	Abolition	0	
orth	Abolition		
foreign	abolitio	lat	
term	Abolition de la sensibilité, du mouvement		
clique	Abolition de la sensibilité, du mouvement | Anesthésie | Paralysie		
entry	Abomasum, Abomasus	0	
orth	Abomasum		
orth	Abomasus		
entry	Abords	0	
orth	Abords		
clique	Couard		
entry	Aborigène	0	
orth	Aborigène		
clique	Indigène		
entry	Abortif	0	
orth	Abortif		
foreign	abortivus	lat	
foreign	abortif	deu	
foreign	abtreibend	deu	
foreign	abortive	eng	
foreign	abortivo	ita	
term	Foetus abortif		
term	avorton		
clique	Foetus abortif | avorton		
term	Méthode abortive		
clique	Méthode abortive		
term	Abortif		
clique	Abortif		
entry	Abouchement	0	
orth	Abouchement		
foreign	Einmündung	deu	
foreign	inosculation	eng	
foreign	abboccamento	ita	
entry	Aboussenna	0	
orth	Aboussenna		
clique	Moucena		
entry	Aboutir	0	
orth	Aboutir		
foreign	aufbrechen	deu	
foreign	to break	eng	
foreign	marcire	ita	
entry	Aboutissement	0	
orth	Aboutissement		
entry	Aboyeurs	0	
orth	Aboyeurs		
term	Délire des aboyeurs		
clique	Délire des aboyeurs | Névrophonie		
entry	Abracadabra	0	
orth	Abracadabra		
entry	Abrachie	0	
orth	Abrachie		
entry	Abrachiocéphalie	0	
orth	Abrachiocéphalie		
entry	Abranches	0	
orth	Abranches		
clique	Batraciens		
entry	Abrasion	1	
orth	Abrasion		
foreign	abrasio	lat	
foreign	Abschälen	deu	
foreign	Abschaben	deu	
foreign	abrasion	eng	
foreign	ξύσις	grc	
pb	0006	0020	
entry	Abre	0	
orth	Abre		
foreign	ἀβρὸς	grc	
entry	Abreuvé	0	
orth	Abreuvé		
term	Plaie abreuvée de pus		
clique	Plaie abreuvée de pus		
entry	Abreuvement	0	
orth	Abreuvement		
foreign	Tranken	deu	
entry	Abréviation	0	
orth	Abréviation		
foreign	abbreviatio	lat	
foreign	Abkürzung	deu	
foreign	abbreviation	eng	
foreign	abbreviazione	ita	
clique	formules		
clique	signes		
term	Add		
clique	Add		
term	B. a		
clique	B. a		
term	B. m		
clique	B. m		
term	B. v		
clique	B. v		
term	Cochleat		
clique	Cochleat		
term	Colat		
clique	Colat		
term	Coq		
clique	Coq		
term	Cyat		
clique	Cyat		
term	Dec		
clique	Dec		
term	F. s. a		
clique	F. s. a		
term	Gutt.		
term	gt.		
clique	Gutt. | gt.		
term	Inf		
clique	Inf		
term	Man		
clique	Man | Manipule		
term	N° 1, N° 2		
clique	N° 1, N° 2		
term	Pug		
clique	Pug		
term	Pulv		
clique	Pulv		
term	S. a		
clique	S. a		
clique	Signe		
term	Abréviations usitées en botanique		
clique	Abréviations usitées en botanique		
clique	Élément		
clique	Notation		
clique	Signe		
term	Abréviations usitées en zoologie		
clique	Abréviations usitées en zoologie | Signe		
entry	Abricot	0	
orth	Abricot		
foreign	armeniacum	lat	
foreign	Apricose	deu	
foreign	apricot	eng	
foreign	albercocca	ita	
foreign	albericoque	spa	
foreign	πραικόκιον	grc	
term	Abricot d’Amérique		
clique	Abricot d’Amérique | Mammea		
entry	Abrotone	0	
orth	Abrotone		
