page	refimg	numauto	chapitre
124	0128	4812379	Gastro-entérite [P. Rayer]
125	0129	4812380	Gastro-entérite [P. Rayer]
126	0130	4812381	Gastro-entérite [P. Rayer]
127	0131	4812382	Gastro-entérite [P. Rayer]
128	0132	4812383	Gastro-entérite [P. Rayer]
129	0133	4812384	Gastro-entérite [P. Rayer]
130	0134	4812385	Gastro-entérite [P. Rayer]
131	0135	4812386	Gastro-entérite [P. Rayer]
132	0136	4812387	Gastro-entérite [P. Rayer]
133	0137	4812388	Gastro-entérite [P. Rayer]
134	0138	4812389	Gastro-entérite [P. Rayer]
135	0139	4812390	Gastro-entérite [P. Rayer]
136	0140	4812391	Gastro-entérite [P. Rayer]
137	0141	4812392	Gastro-entérite [P. Rayer]
138	0142	4812393	Gastro-entérite [P. Rayer]
139	0143	4812394	Gastro-entérite [P. Rayer]
140	0144	4812395	Gastro-entérite [P. Rayer]
141	0145	4812396	Gastro-entérite [P. Rayer]
142	0146	4812397	Gastro-entérite [P. Rayer]
143	0147	4812398	Gastro-entérite [P. Rayer]
144	0148	4812399	Gastro-entérite [P. Rayer]
145	0149	4812400	Gastro-entérite [P. Rayer]
146	0150	4812401	Gastro-entérite [P. Rayer]
147	0151	4812402	Gastro-entérite [P. Rayer]
148	0152	4812403	Gastro-entérite [P. Rayer]
149	0153	4812404	Gastro-entérite [P. Rayer]
150	0154	4812405	Gastro-entérite [P. Rayer]
151	0155	4812406	Gastro-entérite [P. Rayer]
152	0156	4812407	Gastro-entérite [P. Rayer]
153	0157	4812408	Gastro-entérite [P. Rayer]
154	0158	4812409	Gastro-entérite [P. Rayer]
155	0159	4812410	Gastro-entérite [P. Rayer]
156	0160	4812411	Gastro-entérite [P. Rayer]
157	0161	4812412	Gastro-entérite [P. Rayer]
158	0162	4812413	Gastro-entérite [P. Rayer]
159	0163	4812414	Gastro-entérite [P. Rayer]
160	0164	4812415	Gastro-entérite [P. Rayer]
161	0165	4812416	Gastro-entérite [P. Rayer]
162	0166	4812417	Gastro-entérite [P. Rayer]
163	0167	4812418	Gastro-entérite [P. Rayer]
164	0168	4812419	Gastro-entérite [P. Rayer]
165	0169	4812420	Gastro-entérite [P. Rayer]
166	0170	4812421	Gastro-entérite [P. Rayer]
167	0171	4812422	Gastro-entérite [P. Rayer]
168	0172	4812423	Gastro-entérite [P. Rayer]
169	0173	4812424	Gastro-entérite [P. Rayer]
170	0174	4812425	Gastro-entérite [P. Rayer] / Gastro-épiploïque / Gastro-hépatique [A. Béclard] / Gastroraphie [Murat]
171	0175	4812426	Gastroraphie [Murat] / Gastro-splénique [A. Béclard] / Gastrotomie [Murat]
172	0176	4812427	Gastrotomie [Murat]
173	0177	4812428	Gastrotomie [Murat]
174	0178	4812429	Gastrotomie [Murat] / Gateau / Gaz [Orfila]
175	0179	4812430	Gaz [Orfila] / Gélatine [Orfila]
176	0180	4812431	Gélatine [Orfila]
177	0181	4812432	Gélatine [Orfila]
178	0182	4812433	Gélatine [Orfila]
179	0183	4812434	Gélatine [Orfila] / Gelée
