page	refimg	chapitre
357	0355	Coquilles fossiles
358	0356	Coquilles fossiles
359	0357	Coquilles fossiles
360	0358	Coquilles fossiles
361	0359	Coquilles fossiles
362	0360	Coquilles fossiles
363	0361	Coquilles fossiles
364	0362	Coquilles fossiles
365	0363	Coquilles fossiles
366	0364	Coquilles fossiles
367	0365	Coquillieres / Coralloide
368	0366	Coralloide
369	0367	Coralloide
370	0368	Coralloide
371	0369	Coralloide
372	0370	Coralloide
373	0371	Coralloide
374	0372	Coralloide
375	0373	Coralloide
376	0374	Coralloide
377	0375	Coralloide
378	0376	Coralloide
379	0377	Coralloide
380	0378	Coralloide
381	0379	Cornes d'Ammon
382	0380	Cornes d'Ammon
383	0381	Cornes d'Ammon
384	0382	Cornes d'Ammon / Craie
385	0383	Craie
386	0384	Craie
387	0385	Craie
388	0386	Craie / Craie de Briançon
389	0387	Crayon / Crayon noir
390	0388	Crayon noir / Creuset / Crystallisation
391	0389	Crystallisation
392	0390	Crystallisation
393	0391	Crystallisation
394	0392	Crystallisation
395	0393	Crystallisation
396	0394	Crystallisation
397	0395	Crystallisation
398	0396	Crystallisation
399	0397	Crystallisation
400	0398	Crystallisation
401	0399	Crystallisation
402	0400	Crystallisation
403	0401	Crystallisation
404	0402	Crystallisation
405	0403	Crystallisation
406	0404	Crystallisation
407	0405	Crystallisation
408	0406	Crystallisation
409	0407	Crystallisation
410	0408	Crystallisation
411	0409	Crystallisation / Crystaux
412	0410	Crystaux
413	0411	Cuivre
414	0412	Cuivre
415	0413	Cuivre
416	0414	Cuivre
417	0415	Cuivre
418	0416	Cuivre
419	0417	Cuivre
420	0418	Cuivre
421	0419	Cuivre
422	0420	Cuivre
423	0421	Cuivre
424	0422	Cuivre
425	0423	Cuivre
426	0424	Cuivre
427	0425	Cuivre
428	0426	Cuivre
429	0427	Cuivre
430	0428	Cuivre
431	0429	Cuivre
432	0430	Cuivre
433	0431	Cuivre / Dactyle
434	0432	Dendrite
435	0433	Dendroide / Dentalites / Derle
436	0434	Derle / Depart / Docimasie / Emeril ou Emeri
437	0435	Empreintes sur des pierres
438	0436	Empreintes sur des pierres
439	0437	Empreintes sur des pierres
440	0438	Empreintes sur des pierres
441	0439	Empreintes sur des pierres
442	0440	Empreintes sur des pierres
443	0441	Empreintes sur des pierres
444	0442	Empreintes sur des pierres
445	0443	Empreintes sur des pierres
446	0444	Empreintes sur des pierres / Encardites / Encrinite
447	0445	Encrinite / Entroques / Essai des mines / Etoile marine pétrifiée
448	0446	Etites / Falauniere
449	0447	Falauniere / Fer
450	0448	Fer
451	0449	Fer
452	0450	Fer
453	0451	Fer
454	0452	Fer
455	0453	Fer
456	0454	Fer
457	0455	Fer
458	0456	Fer
459	0457	Fer
460	0458	Fer
461	0459	Fer
462	0460	Fer
463	0461	Fer
464	0462	Fer
465	0463	Fer
466	0464	Fer
467	0465	Fer
468	0466	Fer
469	0467	Fer
470	0468	Fer
471	0469	Fer
472	0470	Fer
473	0471	Fer
474	0472	Fer
475	0473	Fer
476	0474	Fer
477	0475	Fer
478	0476	Fer
479	0477	Fer
480	0478	Fer
481	0479	Fer
482	0480	Fer
483	0481	Fer
484	0482	Fer
485	0483	Fer
486	0484	Fer / Fibre / Fibreuses
487	0485	Filons
488	0486	Filons
489	0487	Filons / Fluors / Flux
490	0488	Flux / Fondant / Fongites
491	0489	Fongites
492	0490	Fossiles
493	0491	Fusil (Pierre à) / Fusion / Galet
494	0492	Galet / Gangue / Gelée minérale / Geodes
495	0493	Geodes / Glaise / Glandites / Glinmer / Glossopetres
496	0494	Glossopetres / Grais
497	0495	Grais / Grais en Normandie
498	0496	Granit
499	0497	Granit
500	0498	Granit / Gravier
501	0499	Gravier / Gryphites / Gueuse / Guher
502	0500	Guher / Gypse
503	0501	Gypse
504	0502	Gypse
505	0503	Gypse / Heliolithe / Helmintholithes
506	0504	Hematite / Hippurite
507	0505	Hippurite / Hirondelles (Pierre d') / Hoplites / Hyppocephaloide
508	0506	Hysterolithes / Jaspe
509	0507	Jaspe / Jayet
510	0508	Jayet
511	0509	Ichthyolithes / Jeux de la Nature / Incrustations
512	0510	Incrustations / Keratophyte / Kneis / Lait de Lune
513	0511	Lait de Lune / Langue de Serpent / Licorne fossile
514	0512	Licorne fossile / Liege fossile / Limon
515	0513	Lytophites / Madreporites ou Madrepores
516	0514	Madreporites ou Madrepores / Magnesie / Marais (Terre de) / Marbres
517	0515	Marbres
518	0516	Marbres
519	0517	Marbres
520	0518	Marbres
521	0519	Marbres
522	0520	Marbres
523	0521	Marbres
524	0522	Marbres
525	0523	Marbres
526	0524	Marbres
527	0525	Marbres
528	0526	Marbres
529	0527	Marbres / Marcassites
530	0528	Marcassites / Marne
531	0529	Marne
532	0530	Marne
533	0531	Marne
534	0532	Marne
535	0533	Marne
536	0534	Matrice
537	0535	Matrice
538	0536	Matrice / Meandrite / Melon Pétrifié
539	0537	Mercure
540	0538	Mercure
541	0539	Mercure
542	0540	Mercure
543	0541	Mercure
544	0542	Mercure
545	0543	Mercure
546	0544	Mercure
547	0545	Mercure
548	0546	Mercure
549	0547	Mercure
550	0548	Mercure
551	0549	Mercure
552	0550	Mercure
553	0551	Mercure
554	0552	Mercure
555	0553	Mercure
556	0554	Mercure
557	0555	Mercure
558	0556	Mercure
559	0557	Mercure
560	0558	Mercure
561	0559	Mercure
562	0560	Mercure
563	0561	Mercure
564	0562	Mercure
565	0563	Mercure
566	0564	Mercure
567	0565	Mercure
568	0566	Mercure
569	0567	Mercure
570	0568	Mercure
571	0569	Mercure
572	0570	Mercure
573	0571	Mercure
574	0572	Mercure
575	0573	Mercure
576	0574	Mercure
577	0575	Mercure
578	0576	Mercure
579	0577	Mercure
580	0578	Mercure / Métallurgie
581	0579	Métallurgie
582	0580	Métallurgie
583	0581	Métallurgie
584	0582	Métallurgie
585	0583	Métallurgie
586	0584	Métallurgie
587	0585	Métallurgie / Métaux
588	0586	Métaux
589	0587	Métaux / Meuliere (Pierre de) / Mica
590	0588	Mica
591	0589	Mica
592	0590	Milleporite ou Millepore / Minéraux
593	0591	Mines
594	0592	Mines
595	0593	Mines
596	0594	Mines
597	0595	Mines
598	0596	Mines
599	0597	Mines
600	0598	Mines
601	0599	Mines
602	0600	Mines
603	0601	Mines
604	0602	Mines
605	0603	Mines
606	0604	Mines
607	0605	Mines
608	0606	Mines
609	0607	Mines
610	0608	Mines
611	0609	Mines
612	0610	Mines
613	0611	Mines
614	0612	Mines
615	0613	Mines
616	0614	Mines
617	0615	Mines
618	0616	Mines
619	0617	Mines
620	0618	Mines
621	0619	Mines
622	0620	Mines
623	0621	Mines
624	0622	Mines
625	0623	Mines
626	0624	Mines
627	0625	Mines
628	0626	Mines
629	0627	Mines
630	0628	Mines
631	0629	Mines
632	0630	Mines
633	0631	Mines
634	0632	Mines
635	0633	Mines
636	0634	Mines
637	0635	Mines
638	0636	Mines
639	0637	[Note manuscrite]
640	0638	[Note manuscrite]
