livanc.clenum
3513	extbnfdechambrex025	Dechambre 25	1880
3514	extbnfdechambrex026	Dechambre 26	1882
3515	extbnfdechambrex027	Dechambre 27	1882
3516	extbnfdechambrex028	Dechambre 28	1883
3517	extbnfdechambrex029	Dechambre 29	1884
3518	extbnfdechambrex030	Dechambre 30	1884
3519	extbnfdechambrex031	Dechambre 31	1885
3520	extbnfdechambrex032	Dechambre 32	1885
3521	extbnfdechambrex033	Dechambre 33	1886
3522	extbnfdechambrex034	Dechambre 34	1887
3523	extbnfdechambrex035	Dechambre 35	1887
3524	extbnfdechambrex036	Dechambre 36	1888
3525	extbnfdechambrex037	Dechambre 37	1877
3526	extbnfdechambrex038	Dechambre 38	1878
3527	extbnfdechambrex039	Dechambre 39	1879
3528	extbnfdechambrex040	Dechambre 40	1879
3529	extbnfdechambrex041	Dechambre 41	1879
3530	extbnfdechambrex042	Dechambre 42	1880
3531	extbnfdechambrex043	Dechambre 43	1881
3532	extbnfdechambrex044	Dechambre 44	1882
3533	extbnfdechambrex045	Dechambre 45	1883
3534	extbnfdechambrex046	Dechambre 46	1884
3535	extbnfdechambrex047	Dechambre 47	1886
3536	extbnfdechambrex048	Dechambre 48	1886
3537	extbnfdechambrex049	Dechambre 49	1888
3538	extbnfdechambrex050	Dechambre 50	1888
3539	extbnfdechambrex051	Dechambre 51	1889
3540	extbnfdechambrex052	Dechambre 52	1889
3541	extbnfdechambrex053	Dechambre 53	1872
3542	extbnfdechambrex054	Dechambre 54	1869
3543	extbnfdechambrex055	Dechambre 55	1870
3544	extbnfdechambrex056	Dechambre 56	1871
3545	extbnfdechambrex057	Dechambre 57	1874
3546	extbnfdechambrex058	Dechambre 58	1874
3547	extbnfdechambrex059	Dechambre 59	1873
3548	extbnfdechambrex060	Dechambre 60	1874
3549	extbnfdechambrex061	Dechambre 61	1875
3550	extbnfdechambrex062	Dechambre 62	1876
3551	extbnfdechambrex063	Dechambre 63	1875
3552	extbnfdechambrex064	Dechambre 64	1878
3553	extbnfdechambrex065	Dechambre 65	1879
3554	extbnfdechambrex066	Dechambre 66	1880
3555	extbnfdechambrex067	Dechambre 67	1881
3556	extbnfdechambrex068	Dechambre 68	1881
3557	extbnfdechambrex069	Dechambre 69	1882
3558	extbnfdechambrex070	Dechambre 70	1882
3559	extbnfdechambrex071	Dechambre 71	1884
3560	extbnfdechambrex072	Dechambre 72	1884
3561	extbnfdechambrex073	Dechambre 73	1885
3562	extbnfdechambrex074	Dechambre 74	1886
3563	extbnfdechambrex075	Dechambre 75	1887
3564	extbnfdechambrex076	Dechambre 76	1887
3565	extbnfdechambrex077	Dechambre 77	1886
3566	extbnfdechambrex078	Dechambre 78	1888
3567	extbnfdechambrex079	Dechambre 79	1889
3568	extbnfdechambrex080	Dechambre 80	1874
3569	extbnfdechambrex081	Dechambre 81	1874
3570	extbnfdechambrex082	Dechambre 82	1876
3571	extbnfdechambrex083	Dechambre 83	1876
3572	extbnfdechambrex084	Dechambre 84	1877
3573	extbnfdechambrex085	Dechambre 85	1878
3574	extbnfdechambrex086	Dechambre 86	1879
3575	extbnfdechambrex087	Dechambre 87	1880
3576	extbnfdechambrex088	Dechambre 88	1881
3577	extbnfdechambrex089	Dechambre 89	1881
3578	extbnfdechambrex090	Dechambre 90	1883
3579	extbnfdechambrex091	Dechambre 91	1883
3580	extbnfdechambrex092	Dechambre 92	1884
3581	extbnfdechambrex093	Dechambre 93	1884
3582	extbnfdechambrex094	Dechambre 94	1885
3583	extbnfdechambrex095	Dechambre 95	1886
3584	extbnfdechambrex096	Dechambre 96	1887
3585	extbnfdechambrex097	Dechambre 97	1885
3586	extbnfdechambrex098	Dechambre 98	1886
3587	extbnfdechambrex099	Dechambre 99	1886
3588	extbnfdechambrex100	Dechambre 100	1889
3299	01686x01	James (anglais) 1	1743
3300	01686x02	James (anglais) 2	1745
3301	01686x03	James (anglais) 3	1745
9261	34823x01	Bouley 1	1856
9262	34823x02	Bouley 2	1856
9263	34823x03	Bouley 3	1857
9264	34823x04	Bouley 4	1858
9265	34823x05	Bouley 5	1859
9266	34823x06	Bouley 6	1860
9267	34823x07	Bouley 7	1862
