terme,"IF(AVG(dico_titre) = 3, 'en', if(AVG(dico_titre) = 4, 'fr', 'en-fr'))"
"Hypochondriacus morbus",en-fr
Hypochorema,en-fr
Hypochoresis,en-fr
Hypochyma,en-fr
hypochysis,fr
hypochytos,en-fr
Hypocistis,en-fr
Hypoclepticum,en
"Hypoclepticum vitrum",fr
Hypocoelon,en-fr
Hypocranium,en-fr
Hypoderis,en-fr
Hypodermis,en-fr
Hypodesis,en-fr
Hypodesmis,en-fr
Hypogastrica,en
"Hypogastrica sectio",fr
Hypogastrion,en-fr
Hypoglossis,en-fr
Hypoglossium,en-fr
Hypoglossum,en-fr
Hypoglottides,en
"Hypoglottides pilulae",fr
Hypoglutis,en-fr
Hypomia,en-fr
Hyponemius,fr
Hyponiscos,en-fr
Hyponomos,en-fr
Hyponos,en-fr
Hypopedium,en-fr
Hypophasia,en-fr
Hypophasis,en-fr
Hypophora,en-fr
Hypophtalmion,fr
Hypophthalmion,en
Hypophyllocarpodendron,en-fr
Hypophyllospermosus,fr
Hypophyllospermous,en
Hypopia,en-fr
Hypopleurios,en-fr
Hypopsathyros,en-fr
Hypopyon,en-fr
Hyporinion,en-fr
Hyporisma,en-fr
Hyposarca,en
hyposarcidios,fr
Hyposarra,fr
Hypospadiaeus,en-fr
Hypospathismus,en-fr
Hyposphagma,en-fr
Hypostasis,en-fr
Hypostathme,en-fr
Hypostema,en-fr
Hypostrophe,en-fr
Hypothenar,en-fr
Hypotheton,en-fr
Hypotrimma,en-fr
Hypotrope,en-fr
Hypoxylon,en-fr
Hypozoma,en-fr
Hypsiloglossus,en-fr
Hypsiloides,en-fr
Hyptiasmos,en-fr
Hypulus,en-fr
Hysma,en-fr
"Hyssopifolia major",en-fr
"Hyssopifolia minor",en
Hyssopites,en-fr
Hyssopus,en-fr
Hystera,en-fr
Hystera-petra,en-fr
Hysterialges,en-fr
Hysterica,en-fr
Hysterion,fr
Hysterocele,en-fr
Hysteron,en
Hysterotomia,en-fr
Hysterotomotocia,en-fr
Hystrix,en-fr
Hyvourahe,en-fr
I,en-fr
"I J",en
Iacinthus,en
"Iamblichi sales",en-fr
Iatraleiptes,en-fr
Iatreon,en-fr
Iatrice,en-fr
Iatrochymicus,en-fr
Iatrophysicus,en-fr
Iatros,en-fr
Iba-cura-pari,en
"Iba-cura-pari brasiliensibus",fr
Iba-curu-pari,en
Iba-paranga,en-fr
Ibararemo,en
Ibeixuma,en-fr
Iberis,en-fr
Ibex,en-fr
Ibi-pitanga,en
Ibibiraba,en-fr
Ibiga,en-fr
Ibipitanga,fr
Ibira,en-fr
Ibira-pitanga,en-fr
Ibirace,en-fr
Ibiraeem,en-fr
Ibiraremo,fr
Ibiruba,en-fr
Ibis,en
Ibiscus,en-fr
Ibixuma,en-fr
Icaco,en-fr
"Icesium emplastrum",en-fr
Ichneumon,en-fr
Ichnos,en
Ichor,en-fr
Ichthya,en-fr
Ichthyelaeum,en-fr
Ichthyemata,en-fr
Ichthyites,en-fr
Ichthyocolla,en
Ichthyocolla.Icicariba,fr
Icicariba,en
Icnos,fr
Ictar,en-fr
Icterias,en-fr
Icteritia,en-fr
Icterus,en-fr
Ictis,en-fr
Ictus,en-fr
Idam,en-fr
Idea,en-fr
Ideach,en-fr
Idechtrum,en-fr
Idestrum,en-fr
Ideus,en-fr
Idiocrasia,en-fr
Idiopatheia,en-fr
Idiosyncrasia,en-fr
Idiota,en-fr
Idiotropia,en-fr
"Idon moulli",fr
Idos,en-fr
"Idou moulli",en
Idroagira,en-fr
Ietreion,en-fr
Igbucaini,en-fr
Igciga,en-fr
Ignavia,en-fr
Ignis,en-fr
Ignitio,en-fr
Ignivorus,en-fr
Ignorantia,en-fr
Ignye,en-fr
Ignys,en-fr
Igtaigcica,en-fr
Ilaphis,en-fr
Ilech,en-fr
Ileidos,en-fr
"Ileum intestinum",en-fr
Ileus,en-fr
Ilex,en-fr
"Ilex Baccifera",en
Ilia,en-fr
"Iliaca passio",en-fr
"Iliaca vasa",en-fr
Iliacus,en
"Iliacus externus",fr
"Iliacus musculus",en-fr
iliadum,fr
Iliadus,en-fr
iliaster,fr
Ilingos,en-fr
Iliscus,en-fr
Ilium,en-fr
Illambonis,en
Illambonis.collyrium,fr
Illecebra,en-fr
Illegitimus,en-fr
Illinctus,en-fr
Illisio,en-fr
Illitio,en-fr
Illos,en-fr
Illosis,en-fr
"Illota lana",en-fr
Illoti,en
"Illoti pisces",fr
Illutatio,en-fr
Illutio,en-fr
Illys,en-fr
Ilys,en-fr
Imaginatio,en-fr
Imbibitio,en-fr
Immersio,en-fr
Immersus,en-fr
Impar,en-fr
Impastatio,en-fr
"Impatiens herba",en-fr
Imperatoria,en-fr
Imperforatio,en-fr
"Imperialis corona",en-fr
Impetigo,en-fr
Impetus,en-fr
"Impia herba",en-fr
Implicatus,en-fr
implicitus,fr
Impluvium,en-fr
Impotentia,en-fr
Impraegnatio,en-fr
"Imus venter",en-fr
Inaia,en-fr
Inanitio,en-fr
Inappetentia,en-fr
Inauratio,en-fr
"Incarcerata hernia",en-fr
Incarnantia,en-fr
Incendium,en-fr
Incensio,en-fr
Inceratio,en-fr
Incerniculum,en-fr
Incidentia,en-fr
Incineratio,en-fr
Incisio,en-fr
Incisores,en-fr
Incisorium,en-fr
Inclinatio,en-fr
Incoctus,en-fr
Incontinentia,en-fr
Incorporatio,en-fr
Incrassantia,en-fr
Incrustatio,en-fr
Incuba,en-fr
Incubus,en-fr
Incursus,en-fr
Incus,en
Indarion,en-fr
Index,en-fr
"Indicantes dies",en-fr
Indicantia,en-fr
Indicata,en-fr
Indicatio,en-fr
Indicator,en-fr
Indicium,en-fr
Indico,en-fr
Indicon,en-fr
Indigena,en-fr
Indigestio,en-fr
"Indignatorius musculus",en-fr
Indigo,en-fr
Inductio,en-fr
Indus,en-fr
Indusium,en-fr
Inesis,en-fr
Infans,en-fr
Infectio,en-fr
Infelix,en
"Infelix lignum",fr
Infibulatio,en-fr
Inflammatio,en-fr
Inflatio,en-fr
"Infra spinatus musculus",fr
Infra-scapularis,en-fr
"Infra-spinatus musculus",en
Infrigidans,en-fr
Infundibulum,en-fr
Infusio,en-fr
Infusum,en-fr
Inga,en-fr
Ingerenda,en-fr
ingesta,fr
Ingravidatio,en-fr
Ingredientia,en-fr
Ingressio,en-fr
ingressus,fr
Inguen,en-fr
"Inguinalis fascia",en-fr
"Inguinalis herba",fr
"Inguinalis hernia",fr
Inhame,en-fr
Inhumatio,en-fr
Inimbay,en-fr
Inion,en-fr
Injaculatio,en-fr
Injectio,en-fr
"Innominata ossa",en-fr
Inoculatio,en-fr
Inopinus,en-fr
Inosculatio,en
Inoscultatio,fr
Inpinguedo,en
"Inpinguedo porci",fr
Inquietudo,en-fr
Insania,en-fr
Insectum,en-fr
Insertio,en-fr
Insessio,en-fr
Insessus,en-fr
Insidans,fr
Insidentia,en-fr
Insidians,en
Insipidus,en-fr
Insipientia,en-fr
Insolatio,en-fr
Insolatus,en-fr
insomneitas,fr
Insomnia,en-fr
insomnitas,fr
Insomnium,en-fr
Inspiratio,en-fr
Inspissatio,en-fr
Instillatio,en-fr
Instinctus,en-fr
Instita,en-fr
Insufflatio,en-fr
Insultus,en-fr
Integumenta,en-fr
Intemperantia,en-fr
Intemperies,en-fr
Intentio,en-fr
Inter-Transversales,en
Interceptio,en-fr
Intercidens,en
"Intercidens pulsus",fr
Intercisio,en-fr
"Intercostales musculi",en-fr
Intercurrens,en
"Intercurrens febris",en-fr
"Intercurrens pulsus",fr
Intercus,en-fr
Interdentium,en-fr
Interdigitium,en-fr
Interfoemineum,en-fr
Intergastrum,en-fr
"Interlunius morbus",en-fr
Intermissio,en-fr
Intermittens,en
"Intermittens febris",fr
"Intermittens pulsus",fr
Internodia,en-fr
"Internuntii dies",en-fr
Internus,en-fr
"Interossei musculi",en-fr
Interpassare,en-fr
Interpellatus,en
"Interpellatus morbus",fr
Interpolatus,en
"Interpolatus dies",fr
Interscapularia,en-fr
Interscapulium,en-fr
Interseptum,en-fr
"Interspinales colli",en-fr
Interstinctus,en-fr
Intertrigo,en-fr
Intervallum,en-fr
Intervertebrales,en
"Intervertebrales musculi",fr
Intestina,en-fr
"Intestina terrae",en-fr
Intortus,en-fr
Intoxicatio,en-fr
Intricatus,en-fr
Intritum,en-fr
Introsusceptio,en-fr
Intsia,en-fr
intussuceptio,fr
intussusceptio,en
Intybus,en-fr
Inunctio,en-fr
Inustoria,en-fr
"Inverecundum os",en-fr
Invidia,en-fr
Involvulus,en-fr
Iobolos,en-fr
Iodes,en-fr
Ion,en
Ionia,en-fr
Ionthlaspi,en-fr
Ionthos,en-fr
Ios,en-fr
Iosaccar,en-fr
Iotacismus,en-fr
Ioui,en-fr
Ioulos,en-fr
Ipecacuanha,en-fr
Ipnites,en-fr
Ipoterion,en-fr
Ips,en-fr
Ira,en-fr
Iraiba,en-fr
Irinon,en-fr
Irio,en-fr
Iripa,en-fr
Iris,en-fr
Irreptio,en-fr
Irrucaha,fr
Irucaha,en
Isada,en-fr
Isale,en-fr
Isaros,en-fr
Isatis,en-fr
Isatodes,en-fr
Isca,en-fr
Ischaemon,en-fr
Ischas,en-fr
Ischiadicus,en-fr
Ischias,en-fr
Ischium,en-fr
Ischnophonia,en-fr
Ischuretica,en-fr
Ischuria,en-fr
Isicos,en-fr
Isir,en-fr
Isis,en-fr
Isochryson,en-fr
Isocrates,en-fr
Isomoeria,en-fr
Isopyron,en-fr
Isora-mune,fr
"Isora-mune H. M. Isorrhopos",en
Isorrhopos,fr
Isostathmos,en
Isotathmos,fr
Isotheos,en-fr
Ispida,en-fr
Isthmion,en-fr
Isthmos,en-fr
Italicum,en
"Italicum emplastrum",fr
Itea,en-fr
Ithagenes,en-fr
Ithycyphos,en-fr
Ithylordos,en-fr
Ithyoria,en-fr
Ithyscolios,en-fr
Ithytriches,en-fr
Itinerarium,en-fr
Itrion,en-fr
Iulia,en-fr
Iulis,en
Iulus,en-fr
"Iva arthritica",en-fr
"Iva moschata",en-fr
Iva-beba,fr
Iva-pecanga,en-fr
Iva-umbu,en-fr
Ivabeba,en
Ixale,en-fr
Ixia,en-fr
Ixine,en-fr
Ixion,en-fr
Ixir,en-fr
Ixis,en-fr
Ixodes,en-fr
Ixos,en-fr
Ixys,en-fr
Iynx,en-fr
Jaaroba,en-fr
Jabatapita,en
Jabatopita,fr
Jaborandi,en-fr
Jabuticaba,en
Jabuticara,fr
Jaca,en
"Jaca indica",fr
Jacape,en-fr
Jacapucaya,en-fr
Jacaranda,en-fr
Jace,en-fr
Jacea,en-fr
Jacens,en-fr
Jacinthus,fr
Jacobaea,en-fr
"Jacua acauga",en-fr
Jaculus,en-fr
Jade,en-fr
Jagra,en-fr
Jalapa,en-fr
Jalappa,en-fr
Jamacaru,en-fr
Jambolones,en
"Jambolones garciae",fr
Jambos,en-fr
Jangomas,en-fr
Janipaba,en-fr
Janitor,en-fr
Janitrix,en-fr
Janua,en
"Janua emplastrum",fr
"Januarii cataplasma",en-fr
Japarandiba,en-fr
"Japonica terra",en-fr
"Japonica vernix",en-fr
Jariuna,fr
Jaruina,en
Jasmelaeum,en-fr
Jasminoides,en-fr
Jasminum,en-fr
Jaspachates,en-fr
Jaspis,en-fr
"Jecoraria vena",en-fr
Jectigatio,en-fr
Jecuiba,en-fr
Jecur,en-fr
Jejunium,en-fr
Jejunum,en-fr
Jentaculum,en-fr
"Jequi tinguacu",en-fr
Jerasoy,en-fr
Jeseminum,en-fr
Jetaiba,en-fr
Jetica,en
Jeticucu,en-fr
Jito,en-fr
Johualxochitl,en-fr
"Jollae compositio",en-fr
Jon,fr
Jondraba,en-fr
"Jovis barba",en-fr
"Jovis flos",en-fr
Juba,en-fr
"Jucaia arbor",en-fr
Judaei,en-fr
"Judaica arbor",en-fr
"Judaicum bitumen",en-fr
"Judaicus lapis",en-fr
Judicatio,en-fr
Jugale,fr
"Jugale os",en
"Jugalis sutura",en-fr
Jugamentum,en-fr
Juglans,en-fr
Jugularis,en
"Jugularis vena",fr
Jugulum,en-fr
Jujuba,en-fr
"Jujuba silvestris",en
"Jujuba sylvestris",fr
Julap,en-fr
Julapium,en-fr
Juleb,en
julep,fr
julepus,fr
"Juliani antidotus",en-fr
Julis,fr
"Julius bassus",en-fr
Jumnisum,en-fr
Juncago,en-fr
Juncaria,en-fr
Junctura,en-fr
Juncus,en-fr
Junipappeeywa,en-fr
"Juniperinum vinum",en-fr
Juniperus,en-fr
"Junius crispus",en-fr
Juno,en-fr
"Junonis rosa",en-fr
Jupicai,en-fr
Jupicanga,en-fr
Jupiter,en-fr
Juracatia,en-fr
Jurepeba,en-fr
Jurumu,en-fr
Jus,en-fr
Jusquiamus,en-fr
Jussa,en-fr
Justicia,en
Justitia,fr
Justus,en-fr
Juvantia,en-fr
Juvencus,en-fr
Juwb,en-fr
Juxtangina,en-fr
K,en-fr
Kaath,en-fr
Kaawy,en-fr
kabbala,fr
Kabnos,en-fr
Kachimia,en-fr
Kadali,en-fr
Kaib,en-fr
Kaida,en-fr
Kaigang,en-fr
"Kaka moullon",fr
Kaka-moullon,en
Kaka-niara,en-fr
Kaka-toddali,en-fr
kakimia,fr
Kal,en-fr
Kal-toddavaddi,en-fr
Kald,en-fr
Kaled,en-fr
Kali,en-fr
Kamar,en
Kamir,fr
Kamra,fr
Kandel,en-fr
Kanden-kara,en-fr
Kanelli,en-fr
Kanfor,en-fr
Kapa-mara,en-fr
Kaprili,en-fr
Kar,en-fr
Kara-angolam,en-fr
Kara-kandel,en-fr
Karabe,en-fr
Karabitus,en-fr
karat,fr
Karatas,en-fr
Karena,en-fr
Kari-vetti,en-fr
Kariil,en-fr
Karin-tagera,en-fr
Kasam,en-fr
Kasdir,en-fr
Kasiava-maram,fr
kasir,fr
Kasjava-maram,en
Katimia,en-fr
Katkin,en-fr
Katmer-bouhour,en-fr
Katou-conna,en-fr
Katou-indel,en-fr
Katou-kalesiam,en-fr
Katou-karva,en-fr
Katou-naregam,en-fr
Katou-patsiotti,fr
Katou-patsjotti,en
Katou-pulcolli,en-fr
Katou-theka,en-fr
Katou-tsiaca,fr
Katou-tsjaca,en
Kauki,en-fr
Kaye-baka,en-fr
Kayl,en
Kaysir,en
Kazdir,en-fr
kebric,fr
Kedangu,en-fr
Keiri,en-fr
Kelp,en-fr
Kemir,en
Kempfera,en-fr
Kenkel,en-fr
Kenne,en-fr
Keratophyton,en-fr
Kermes,en-fr
Kersydros,en-fr
Ketmia,en-fr
Keyri,en-fr
Kibric,en-fr
Kibrith,en-fr
Kibrius,en-fr
Kidibengi,en-fr
Kiki,en-fr
Kina-kina,en
Kinakina,fr
Kirath,en-fr
Kises,en-fr
Kismesen,en-fr
Kist,en-fr
Knawel,en-fr
Kobaltum,en-fr
Kolerus,en-fr
Kolto,en-fr
Kophi,en-fr
"Kreupel boom",fr
Kreupelboom,en
"Krissia boom",en-fr
Kuhul,en-fr
Kumen,en-fr
Kuria,en-fr
Kutubuth,en-fr
Kymenna,en-fr
Kymia,en-fr
Kymit,en-fr
Kymolea,en-fr
kymus,fr
Kyna,en-fr
Kyram,en-fr
L,en-fr
l'ischium,fr
Labdanum,en-fr
Labe,en-fr
"Labella leporina",en-fr
Labeo,en-fr
Labia,en-fr
"Labia leporina",en-fr
"Labiate flowers",en
Labis,en-fr
Lablab,en-fr
Labor,en-fr
Laboratorium,en-fr
Labrax,en-fr
Labrisulcium,en-fr
Labrum,en-fr
"Labrum veneris",en-fr
Labrusca,en-fr
Laburnum,en-fr
Labyrinthus,en-fr
Lac,en-fr
"lac acetosum",fr
"Lac lunae",en-fr
Lacaphthon,en-fr
Lacca,en-fr
Laccopedon,en-fr
"Lacerta viridis",en
Lacertus,en-fr
"Lacertus aquatilis",en
Lachlachatum,en-fr
Lachryma,en-fr
"Lachryma jobi",en-fr
"Lachrymale punctum",en-fr
Lachrymalis,en
"Lachrymalis ductus",fr
Laciniae,en-fr
Laconicum,en-fr
Lactaria,en-fr
Lactatio,en-fr
"Lactea febris",en
"Lactea vasa",en-fr
Lactica,en-fr
Lacticinia,en-fr
Lactiferus,en-fr
Lactuca,en-fr
Lactucella,en-fr
Lactucimina,en-fr
Lactumen,en-fr
Lacunae,en-fr
Lacune,en-fr
Ladanum,en-fr
Laemos,en-fr
Laetificans,en-fr
Laevigatio,en-fr
Laganon,en-fr
Lagaros,en-fr
Lagneia,en-fr
lagneuma,fr
Lagocheilos,en-fr
Lagon,en-fr
Lagophthalmia,en-fr
Lagopus,en-fr
Lamac,en-fr
Lamare,en-fr
Lambdacismus,en-fr
Lambdoides,en-fr
Lambitivum,en-fr
Lamina,en-fr
Lamium,en-fr
Lamneia,en-fr
Lampe,en-fr
Lampetra,en
Lampetra.Lampodes,fr
Lampodes,en
Lampros,en-fr
Lampsana,en-fr
Lampyris,en
Lampyrus,fr
Lana,en-fr
Lanaria,en-fr
Lanarius,en-fr
lanceola,fr
Lancetta,en-fr
Langii,en
"Langii aqua epileptica",fr
Languor,en-fr
Lanigera,en
"Lanigera arbor",fr
Lanigerus,en-fr
Lanius,en-fr
Lans,en-fr
Lantana,en-fr
Lantor,en-fr
Lanuginosus,en-fr
Lanugo,en-fr
Lanx,en-fr
Laonica,en
"Laonica curatio",fr
Laos,en-fr
Lapacticus,en-fr
Lapara,en-fr
Laparos,en-fr
Lapathum,en-fr
Lape,en-fr
Lapidillus,en-fr
Lapillatio,en-fr
Lapis,en-fr
"lapis alectorius",fr
"lapis gypseus",fr
"lapis lyncis",fr
Lappa,en
Lappago,en-fr
"Lappula canaria",en-fr
Laqueus,en-fr
Larbason,en-fr
Lardum,en-fr
Larix,en-fr
Larus,en-fr
Larva,en-fr
Laryngotomia,en-fr
Larynx,en-fr
Lasanon,en-fr
Lascivus,en-fr
Laser,en-fr
Laserpitium,en-fr
Lasion,en-fr
Lassitudo,en-fr
Lastaurus,en-fr
Lasur,en-fr
"Latae pustulae",en-fr
Later,en-fr
Latera-lictro,en-fr
"Lateralis morbus",en-fr
Laterium,en-fr
Lathyris,en-fr
Lathyrus,en-fr
Latibulum,en-fr
Latica,en-fr
"Latissimus dorsi",fr
Latissimusdorsi,en
Laton,en-fr
"Latus pulsus",en-fr
Laucania,en-fr
Laudanum,en-fr
Laudinae,en-fr
Laurax,en-fr
Laureola,en-fr
Laurifolia,en-fr
"Lauro serratae",fr
Lauro-cerasus,en
Lauro-serratae,en
Lauro-similis,en-fr
Laurocerasus,fr
Laurus,en-fr
"Lautissima vina",en-fr
Lavacrum,en-fr
Lavamentum,en-fr
Lavandula,en-fr
Lavaretus,en-fr
Lavaronus,en-fr
Lavatera,en-fr
Lavatio,en-fr
Lavendula,en-fr
Laver,en-fr
Lavignon,en-fr
Lavipedium,en-fr
Lawang,en-fr
"Laxa chimolea",en-fr
"Laxantia medicamenta",en-fr
Laxatio,en-fr
Laxativa,en-fr
Laxitas,en-fr
Lazari,en
"Lazari morbus",fr
Lazuli,en
"Lazuli lapis",fr
Lazurius,en-fr
Leaena,en-fr
Leberis,en-fr
Lebias,en-fr
Lecheneon,en-fr
Lechia,en-fr
Lecho,en-fr
Leciscion,en-fr
Lecithos,en-fr
Lectio,en-fr
"Lectualis morbus",en-fr
Lectus,en-fr
Ledum,en-fr
Leffa,en-fr
Leffas,en-fr
Legna,en-fr
Leguanaria,en-fr
Legumen,en-fr
Leiobatos,en-fr
Leiopodes,en-fr
Leiphaemoi,en-fr
Leipodermos,en-fr
Leipopsychia,en-fr
Leipothymia,en-fr
Leipyrias,en-fr
Lelythus,en
Lelytus,fr
Leme,en-fr
Lemma,en-fr
"Lemnia terra",en-fr
Lemniscus,en-fr
Lempnias,en-fr
Leniens,en-fr
Lenis,en-fr
lenitivus,fr
Lenos,en
Lens,en-fr
"Lenta febris",en-fr
Lentibularia,en-fr
Lenticula,en-fr
Lenticulare,en-fr
"Lenticulares glandulae",fr
"Lenticularis febris",fr
Lentigo,en-fr
"Lentiscinum vinum",en-fr
Lentiscus,en-fr
"Lentiscus peruana",en-fr
Lentor,en-fr
Leo,fr
"Leonina lepra",fr
Leontiasis,en-fr
Leontion,en-fr
Leontopetalon,en-fr
Leontopodium,en-fr
Leonurus,en-fr
Leopardus,en-fr
Lepas,en-fr
lephante,fr
Lephanteus,en-fr
Lepidium,en-fr
Lepidocarpodendron,en-fr
"Lepidoides sutura",en
"Lepidoites sutura",fr
Lepidosarcoma,en-fr
Lepis,en
"Leporina labra",en-fr
Lepra,en-fr
Lepras,en-fr
Leptomeres,en-fr
Leptunon,en-fr
Leptysmos,en-fr
Lepus,en-fr
"Lepus marinus",en
Lepyrion,en-fr
Leros,en-fr
"les progrès de la médecine",fr
Leseolus,en-fr
Lesmin,en-fr
Leta,en-fr
Letchi,en-fr
Lethargus,en-fr
Lethe,en-fr
Leucacantha,en-fr
Leucadendros,en-fr
Leucania,en-fr
Leucanthemum,en-fr
Leucas,en
"Leucas montana",fr
Leuce,en-fr
Leucelectrum,en-fr
Leuciscos,en-fr
Leucochrus,en-fr
Leucographis,en-fr
Leucoium,en-fr
Leucolachanon,en
Leucolanchanon,fr
Leucoma,en-fr
Leuconymphaea,en-fr
Leucophagium,en-fr
Leucophlegmatia,fr
Leucophlegmatica,en
Leucophyllon,en-fr
Leucopyron,en-fr
Leucorrhoea,en-fr
Levator,en
Levatores,fr
"Levatores ani",en
"Leviathan penis",en-fr
Leviraia,en-fr
Levisticum,en-fr
Lexipharmacon,en-fr
Lexipyretos,en-fr
Libanion,en-fr
Libanos,en-fr
Libanotis,en-fr
Libanotos,en-fr
Libella,en-fr
Libido,en-fr
Libos,en-fr
Libra,en-fr
Liburnum,en-fr
Libyanon,en-fr
Lichanos,en-fr
Lichas,en-fr
Lichen,en-fr
Lichenastrum,en-fr
Lichenoides,en-fr
Lichi,en
"Lichi lici",fr
Lici,en
Licinia,en-fr
Licopus,fr
Lien,en-fr
Lienteria,en-fr
Ligamentum,en-fr
Ligatio,en-fr
Ligatura,en-fr
Ligniperda,en-fr
Lignum,en-fr
"Lignum campescanum",en
"Lignum carabaccium",en
"lignum colubrinum",fr
"Lignum flavum",en
"Lignum literatum",en
"Lignum moluccense",en
"Lignum rubrum",en
Lignuodes,en-fr
Ligula,en-fr
Ligurinus,en-fr
Ligusma,en-fr
Ligusticum,en-fr
Ligustrum,en-fr
Lilac,en-fr
Lili,en-fr
Liliago,en-fr
Liliastrum,en-fr
Lilio-asphodelus,en-fr
Lilio-fritillaria,en-fr
Lilio-hyacinthus,en-fr
Lilio-narcissus,en-fr
Lilio-ornithogalum,en-fr
Lilium,en-fr
Lima,en-fr
Limanchia,en-fr
Limaturae,en-fr
"Limax terrestris",en
"Limax terrestris.Limbus",fr
Limbus,en
Limnitis,en-fr
Limnopeuce,en-fr
Limoctonia,en-fr
Limodorum,en-fr
Limon,en-fr
Limonada,en-fr
"Limonia malus",en-fr
Limonium,en-fr
Linagrostis,en-fr
Linamentum,en-fr
Linaria,en-fr
"Linaria aurea",en
"Linaria scoparia",en
Linctuarium,en-fr
Linctus,en-fr
"Linea alba",en-fr
Lingua,en-fr
"Lingua avis",en-fr
"Lingua cervina",en-fr
"Lingua major",en
"Lingualis musculus",en-fr
Lingula,en-fr
Linimentum,en-fr
Linosyris,en-fr
Linozostis,en-fr
Linteum,en-fr
Linum,en-fr
Liobatos,en-fr
Lipa,en-fr
Liparis,en-fr
"lipida carpodendron",fr
Lipodermos,en-fr
Lipopsychia,en-fr
Lipothymia,en-fr
Lippa,en-fr
Lippia,en-fr
Lippitudo,en-fr
Lipyria,en
Liquamen,en-fr
Liquamumia,en-fr
Liquidambra,en-fr
Liquiritia,en-fr
"Liquor mineralis anodynus",en-fr
Lirion,en-fr
Lite,en-fr
Lithagogus,en-fr
Lithanthrax,en-fr
"Lithargirites acetum",en-fr
Lithargyrus,en-fr
Lithiasis,en-fr
Lithobryon,en-fr
Lithocolla,en-fr
Lithocolum,en-fr
Lithodendrom,en
Lithodendron,fr
Lithoeides,en-fr
Litholabon,en-fr
Lithontripticus,en-fr
Lithopaedion,en-fr
Lithophyton,en-fr
Lithoreoleucoium,en-fr
Lithospermum,en-fr
Lithothlaspi,en-fr
Lithotomia,en-fr
Lithotomus,en-fr
Litim,en-fr
Litos,en-fr
Litra,en-fr
Litron,en-fr
Litteristum,en-fr
Litus,en-fr
Lividus,en
"Lividus musculus",fr
Lixivium,en-fr
Lixivum,en-fr
Lobelia,en-fr
Lobellus,en-fr
lobulus,fr
Lobus,en-fr
"Lobus echinatus",en-fr
Localia,en
"Localia medicamenta",fr
Loch,en-fr
Lochia,en-fr
Loculamenta,en-fr
Locus,en-fr
Locusta,en-fr
"Locusta altera",fr
"Locusta marina",en-fr
Loemos,en-fr
Logaporum,en-fr
Logas,en-fr
Loligo,en-fr
Lolium,en-fr
Lolius,en-fr
Lomentum,en-fr
"Lonan Cambodia",en-fr
Lonchitis,en-fr
"Lonchitis minor",en
"Lonchitis prima",en
Lonchoton,en-fr
Longanon,en-fr
longaon,fr
"Longissimus dorsi",en-fr
Longitudinales,fr
Longitudinalis,en
Longurius,en-fr
"Longus colli",en-fr
Lonket,en-fr
looch,fr
Lopa,en-fr
Lopades,en-fr
Lophadia,en-fr
lophia,fr
Lopos,en-fr
Loppa,en-fr
Lora,en-fr
Lordosis,en-fr
Lorica,en-fr
"Lorind matricis",fr
Lorinde,en-fr
Lorum,en-fr
Lorus,en-fr
Lot,en-fr
Lota,en-fr
Lotio,en-fr
Lotium,en-fr
"Loto affinis",en-fr
Lotura,en-fr
Lotus,en-fr
Loxia,en-fr
Lozanga,en-fr
Luban,en-fr
Lucanus,en-fr
"Lucatelli balsamum",en-fr
Lucerna,en-fr
Lucius,en-fr
lucma,fr
"Lucumoriana dormitio",en-fr
"Ludus paracelsi",en-fr
"Lues venerea",en-fr
Luffa,en
"Luffa arabum",fr
Lujula,en-fr
Lumbago,en-fr
"Lumbaris internus",en-fr
Lumbi,en-fr
"Lumbricales musculi",en-fr
"Lumbricus terrestris",en-fr
lumyen,fr
Luna,en-fr
Lunaetria,fr
Lunaria,en-fr
Lunaticus,fr
Lunificus,fr
Luparia,fr
Lupha,fr
Lupia,fr
Lupinus,fr
Lupulus,fr
Lupus,fr
Lus,fr
Luscinia,fr
Lusciosus,fr
Lustum,fr
Lutatio,fr
Lutea,fr
Luteola,fr
Lutra,en-fr
Lutron,en-fr
Lutum,en-fr
Lux,en-fr
Luxatio,en-fr
Luxus,en-fr
Lycanche,en-fr
Lycanthropia,en-fr
Lycaon,en-fr
"Lychni scabiosa",fr
Lychni-scabiosa,en
Lychnion,en-fr
Lychnis,en-fr
Lychnites,en-fr
Lycium,en-fr
"Lycium indicum",en
Lycoctonum,en-fr
Lycoides,en-fr
Lycoperdon,en-fr
Lycopersicon,en-fr
Lycopodioides,en-fr
Lycopodium,en-fr
Lycopsis,en-fr
Lycopus,en
Lygismos,en-fr
Lygmos,en-fr
Lyma,en-fr
Lyme,en-fr
Lympha,en-fr
"Lymphae ductus",fr
Lymphaeductus,en
"lymphatica vasa",fr
Lynceus,en-fr
"Lyncis lapis",en-fr
Lyncourion,en-fr
Lynx,en-fr
Lyra,en-fr
Lysimachia,en-fr
Lysiponion,en-fr
Lysis,en-fr
Lyssa,en-fr
Lyssodectos,en-fr
Lyterios,en
lythargirium,fr
"lythargyrium argyritis",fr
Lytherios,fr
Lythron,en-fr
M,en-fr
Mabouja,en-fr
Macaleb,en-fr
Macandon,en-fr
Macaxocotlifera,en-fr
Macedonicus,en-fr
"Macedonisium semen",en-fr
Macer,en-fr
Maceratio,en-fr
Macha,en-fr
Macha-mona,en-fr
Machaeria,en-fr
Machaerion,en
Machaeris,en
Machal,en-fr
Machaon,en-fr
Machina,en-fr
Machis,en-fr
