object			
volume	00152	De Gorris index (1601)	1601
foreign	κιχώριον	grc	
entry	Ambarum	0	
orth	Ambarum	lat	
foreign	ἄμβαρ	grc	
entry	Ambustus	0	
orth	Ambustus	lat	
foreign	πυρίκαυστος	grc	
entry	Ambrosia	0	
orth	Ambrosia	lat	
foreign	βότρυς	grc	
entry	Amentia	0	
orth	Amentia	lat	
foreign	ἄνοια	grc	
entry	Amphora	0	
orth	Amphora	lat	
foreign	ἀμφορεύς	grc	
entry	Amuleta	0	
orth	Amuleta	lat	
foreign	ἀποτρόπαια	grc	
entry	Amuletum	0	
orth	Amuletum	lat	
foreign	ἀλεξητήριον	grc	
foreign	ἀλεξιφάρμακον	grc	
foreign	περίαμμα	grc	
entry	Amurca	0	
orth	Amurca	lat	
foreign	ἀμόργη	grc	
entry	Amydum	0	
orth	Amydum	lat	
foreign	ἄμυλον	grc	
entry	Amygdalae	0	
orth	Amygdalae	lat	
foreign	ἀντιάδες	grc	
entry	Amygdalus	0	
orth	Amygdalus	lat	
foreign	ἀμυγδαλῆ	grc	
entry	Anagallis	0	
orth	Anagallis	lat	
foreign	κολλάριον	grc	
entry	Anchorae similis processus	0	
orth	Anchorae similis processus	lat	
foreign	ἀγκυροειδὴς ἐπίφυσις	grc	
entry	Anchusa	0	
orth	Anchusa	lat	
foreign	ἀγχούση	grc	
entry	Anetum	0	
orth	Anetum	lat	
foreign	ἐλάτη	grc	
entry	Anethum syluestre	0	
orth	Anethum syluestre	lat	
foreign	μῆον	grc	
entry	Angina	0	
orth	Angina	lat	
foreign	κυνάγχη	grc	
entry	Anguli oculorum maiores	0	
orth	Anguli oculorum maiores	lat	
foreign	ῥαντῆρες	grc	
entry	Anguli oculorum minores	0	
orth	Anguli oculorum minores	lat	
foreign	παρωπίαι	grc	
entry	Angulus oculi	0	
orth	Angulus oculi	lat	
foreign	κανθός	grc	
entry	Anhelosi	0	
orth	Anhelosi	lat	
foreign	πνευματίαι	grc	
foreign	πνευματούμενοι	grc	
entry	Anima	0	
orth	Anima	lat	
foreign	ψυχή	grc	
entry	Animalis facultas	0	
orth	Animalis facultas	lat	
foreign	ψυχικὴ δύναμις	grc	
entry	Animalis spiritus	0	
orth	Animalis spiritus	lat	
foreign	ψυχικὸν πνεῦμα	grc	
entry	Animosa facultas	0	
orth	Animosa facultas	lat	
foreign	θυμοειδὴς δύναμις	grc	
entry	Animusculus	0	
orth	Animusculus	lat	
foreign	σφιγκτήρ	grc	
entry	Annus	0	
orth	Annus	lat	
foreign	ἐνιαυτός	grc	
entry	Annuum	0	
orth	Annuum	lat	
foreign	ἐνιαύσιον	grc	
entry	Anticipatio accessionis	0	
orth	Anticipatio accessionis	lat	
foreign	προληπτικὸς τύπος	grc	
entry	Anus	0	
orth	Anus	lat	
foreign	ἕδρα	grc	
foreign	ἀρχός	grc	
entry	Anxietas	0	
orth	Anxietas	lat	
foreign	ἀλύκη	grc	
foreign	ἀλυσμός	grc	
entry	Aperire	0	
orth	Aperire	lat	
foreign	στομοῦν	grc	
entry	Apiastrum	0	
orth	Apiastrum	lat	
foreign	μελισσόφυλλον	grc	
entry	Apium	0	
orth	Apium	lat	
foreign	σέλινον	grc	
entry	Apium montanum	0	
