titre_cote	volume_cote	volume_annee	volume_soustitre	livanc
_47661	47661x10	1814	vol. 10 (DIS - EAU)	1611
_47661	47661x11	1815	vol. 11 (EAU - ÉMO)	1612
_47661	47661x12	1815	vol. 12 (EMP - ÉPI)	1787
_47661	47661x13	1815	vol. 13 (EPI - EXC)	1613
_47661	47661x14	1815	vol. 14 (EXC - FEM)	1614
_47661	47661x15	1816	vol. 15 (FEM - FIS)	1615
_47661	47661x16	1816	vol. 16 (FIS - FRA)	1616
_47661	47661x17	1816	vol. 17 (FRA - GEN)	1617
_47661	47661x18	1817	vol. 18 (GÉN - GOM)	1618
_47661	47661x19	1817	vol. 19 (GOM - GYP)	1619
_47661	47661x20	1817	vol. 20 (HAB - HEM)	1620
_47661	47661x21	1817	vol. 21 (HEM - HUM)	1621
_47661	47661x22	1818	vol. 22 (HUM - HYG)	1622
_47661	47661x23	1818	vol. 23 (HYG - ILÉ)	1623
_47661	47661x24	1818	vol. 24 (ILI - INF)	1624
_47661	47661x25	1818	vol. 25 (INF - IOD)	1625
_47661	47661x26	1818	vol. 26 (IPÉ - JUS)	1626
_47661	47661x27	1818	vol. 27 (KAL - LET)	1627
_47661	47661x28	1818	vol. 28 (LEU - LOM)	1628
_47661	47661x29	1818	vol. 29 (LON - MAH)	1629
_47661	47661x30	1818	vol. 30 (MAI - MAR)	1776
_47661	47661x31	1819	vol. 31 (MAR - MED)	1777
_47661	47661x32	1819	vol. 32 (MÉD - MÉS)	1779
_47661	47661x33	1819	vol. 33 (MÉT - MOI)	1781
_47661	47661x34	1819	vol. 34 (MOL - MUSC)	1784
_47661	47661x35	1819	vol. 35 (MUS - NÉV)	1785
_47661	47661x36	1819	vol. 36 (NEZ - NYS)	1786
_47661	47661x37	1819	vol. 37 (OBÉ - ORD)	1810
_47661	47661x38	1819	vol. 38 (ORE - OUV)	1811
_47661	47661x39	1819	vol. 39 (OVA - PEA)	1812
_47661	47661x40	1819	vol. 40 (PEC - PERO)	1813
_47661	47661x41	1820	vol. 41 (PER - PHR)	1814
_47661	47661x42	1820	vol. 42 (PHT - PLAD)	1851
_47661	47661x43	1820	vol. 43 (PLAI - POIS)	1852
_47661	47661x44	1820	vol. 44 (POIT - POUM)	1853
_47661	47661x45	1820	vol. 45 (POUR - PRU)	1854
_47661	47661x46	1820	vol. 46 (PSE - RACH)	1855
_47661	47661x47	1820	vol. 47 (RACI - RESO)	1856
_47661	47661x48	1820	vol. 48 (RESP - RHU)	1857
_47661	47661x49	1820	vol. 49 (RIC - SAP)	1858
_47661	47661x50	1820	vol. 50 (SAR - SEM)	1859
_47661	47661x51	1821	vol. 51 (SÉN- SOL)	1860
_47661	47661x52	1821	vol. 52 (SOM - STH)	1861
_47661	47661x53	1821	vol. 53 (STI - SYMPA)	1862
_47661	47661x54	1821	vol. 54 (SYMPH - TES)	1863
_47661	47661x55	1821	vol. 55 (TÉT - TRIC)	1864
_47661	47661x56	1821	vol. 56 (TRIF - VAP)	1865
_47661	47661x57	1821	vol. 57 (VAR - VIE)	1866
_47661	47661x58	1822	vol. 58 (VIE - ZYT)	1867
_47661	47661x59	1822	vol. 59 (Table des matières)	9238
_47661	47661x60	1822	vol. 60 (Table des matières - Appendice)	9239
_47667	47667x01	1820	Tome 1er	2955
_47667	47667x02	1820	Tome 2	2956
_47667	47667x03	1821	Tome 3	2957
_47667	47667x04	1821	Tome 4	2958
_47667	47667x05	1822	Tome 5	2959
_47667	47667x06	1824	Tome 6	2960
