object			
volume	00152	Des Gorris (1601)	1601
entry	Atriplex	0	
orth	Atriplex	lat	
foreign	ἀράφαξις	grc	
foreign	χρυσυλαγανον	grc	
entry	Atriplex syluestris	0	
orth	Atriplex syluestris	lat	
foreign	κινια	grc	
entry	Attenuantia	0	
orth	Attenuantia	lat	
foreign	λεπλτυνοντα	grc	
entry	Attonitus morbus	0	
orth	Attonitus morbus	lat	
foreign	ἀποπληρία	grc	
entry	Attractrix facultas	0	
orth	Attractrix facultas	lat	
foreign	ἐλκτικὴ δυναμις	grc	
entry	Attrahaens medicamentum	0	
orth	Attrahaens medicamentum	lat	
foreign	σπαστιὴον	grc	
entry	Attrahaentia medicamenta	0	
orth	Attrahaentia medicamenta	lat	
foreign	ἀκπνά	grc	
entry	Auctio	0	
orth	Auctio	lat	
foreign	αὐρησις	grc	
entry	Auditus	0	
orth	Auditus	lat	
foreign	ἀκοὴ	grc	
entry	Auellana	0	
orth	Auellana	lat	
foreign	κάρυον ἡρακλειωτικον	grc	
entry	Auena	0	
orth	Auena	lat	
foreign	βρόμος	grc	
entry	Augmentum	0	
orth	Augmentum	lat	
foreign	αησις	grc	
entry	Auis lingua	0	
orth	Auis lingua	lat	
foreign	ὀρνεόγλῶσον	grc	
entry	Aurifusorium specillum	0	
orth	Aurifusorium specillum	lat	
foreign	ὡτειγύτης	grc	
entry	Auripigmentum	0	
orth	Auripigmentum	lat	
foreign	αρσενκὸν	grc	
entry	Auris	0	
orth	Auris	lat	
foreign	ους	grc	
entry	Aurium dolor	0	
orth	Aurium dolor	lat	
foreign	ὡταλγία	grc	
entry	Auron	0	
orth	Auron	lat	
foreign	βρόμος	grc	
entry	Auster	0	
orth	Auster	lat	
foreign	voτὸς	grc	
entry	Austerum	0	
orth	Austerum	lat	
foreign	αὐστηρὸν	grc	
entry	Autumnus	0	
orth	Autumnus	lat	
foreign	φθινοπωρον	grc	
entry	Axilla	0	
orth	Axilla	lat	
foreign	pαραλίς	grc	
entry	Axillaris vena	0	
orth	Axillaris vena	lat	
foreign	μασαλιὰλα φλεος	grc	
entry	Axungia	0	
orth	Axungia	lat	
foreign	ἄξόγνιον	grc	
foreign	ὀξῦγνιον	grc	
entry	Bacchar	0	
orth	Bacchar	lat	
