object	
volume	00152	Des Gorris (1601)	1601
ref	Des Gorris 1601
pb	0525	https://www.biusante.parisdescartes.fr/iiif/2/bibnum:00152:0535/full/full/0/default.jpg	https://www.biusante.parisdescartes.fr/histmed/medica/page?00152&p=0535
pb	0526	https://www.biusante.parisdescartes.fr/iiif/2/bibnum:00152:0536/full/full/0/default.jpg	https://www.biusante.parisdescartes.fr/histmed/medica/page?00152&p=0536
orth	Arteria aspera	lat
foreign	grc	φάρυγς
entry	Arteriae dissectio	0	
orth	Arteriae dissectio	lat
foreign	grc	ἀρτηριοτιμία
entry	Arteria magna	0	
orth	Arteria magna	lat
foreign	grc	ἄδρτη
entry	Articaulis	0	
orth	Articaulis	lat
foreign	grc	κινὰρα
entry	Articularis morbus	0	
orth	Articularis morbus	lat
foreign	grc	ἀρθρίτς
entry	Articuli cauitas seusinus	0	
orth	Articuli cauitas seusinus	lat
foreign	grc	χλένη
entry	Articulorum contractio	0	
orth	Articulorum contractio	lat
foreign	grc	ἀλλύλλ
entry	Articulus	0	
orth	Articulus	lat
foreign	grc	ἄρθρον
entry	Arundo	0	
orth	Arundo	lat
foreign	grc	κάλαμος
entry	Ascia	0	
orth	Ascia	lat
foreign	grc	σκέπαρνον
entry	Aselli	0	
orth	Aselli	lat
foreign	grc	ὅνοι
entry	Astaragus syluestris	0	
orth	Astaragus syluestris	lat
foreign	grc	λιβυκὸν
entry	Aspera arteria	0	
orth	Aspera arteria	lat
foreign	grc	βρόχος
pb	0527	https://www.biusante.parisdescartes.fr/iiif/2/bibnum:00152:0537/full/full/0/default.jpg	https://www.biusante.parisdescartes.fr/histmed/medica/page?00152&p=0537
entry	Aspergines medicamentorum	0	
orth	Aspergines medicamentorum	lat
foreign	grc	διπάσμετα
entry	Aspergula	0	
orth	Aspergula	lat
foreign	grc	ἀπαρίνη
entry	Aspergula minor	0	
orth	Aspergula minor	lat
foreign	grc	ἀστὴρ ἀττικὸς
entry	Asperitas	0	
orth	Asperitas	lat
foreign	grc	τραγύτης
entry	Asperitudo palpebrae	0	
orth	Asperitudo palpebrae	lat
foreign	grc	τράχομα
foreign	grc	τύλωσις
entry	Aspersiones	0	
orth	Aspersiones	lat
foreign	grc	προσκλύσματα
entry	Asperum	0	
orth	Asperum	lat
foreign	grc	φρικῶδες
entry	Aspicum	0	
orth	Aspicum	lat
foreign	grc	ιυδοναρδὸς
entry	Assatio	0	
orth	Assatio	lat
foreign	grc	ὅπλησις
entry	Astragalus	0	
orth	Astragalus	lat
foreign	grc	τέθωρος
entry	Ater succus	0	
orth	Ater succus	lat
foreign	grc	μελατχολικὸς γεμὸς
entry	Athletica habitudo	0	
orth	Athletica habitudo	lat
foreign	grc	ἀθλητικὴ ετις
entry	Atra bilis	0	
orth	Atra bilis	lat
foreign	grc	μὲλωνάχρλὴ
entry	Atramentum metallicum	0	
orth	Atramentum metallicum	lat
foreign	grc	μαλαντορς
entry	Atramentum scriptorium	0	
orth	Atramentum scriptorium	lat
foreign	grc	μλανὰς γράφομεν
entry	Atramentum sutorium	0	
orth	Atramentum sutorium	lat
foreign	grc	γαλιαντος
entry	Atriplex	0	
orth	Atriplex	lat
foreign	grc	ἀράφαξις
foreign	grc	χρυσυλαγανον
entry	Atriplex syluestris	0	
orth	Atriplex syluestris	lat
foreign	grc	κινια
entry	Attenuantia	0	
orth	Attenuantia	lat
foreign	grc	λεπλτυνοντα
entry	Attonitus morbus	0	
orth	Attonitus morbus	lat
foreign	grc	ἀποπληρία
entry	Attractrix facultas	0	
orth	Attractrix facultas	lat
foreign	grc	ἐλκτικὴ δυναμις
entry	Attrahaens medicamentum	0	
orth	Attrahaens medicamentum	lat
foreign	grc	σπαστιὴον
entry	Attrahaentia medicamenta	0	
orth	Attrahaentia medicamenta	lat
foreign	grc	ἀκπνά
entry	Auctio	0	
orth	Auctio	lat
foreign	grc	αὐρησις
entry	Auditus	0	
orth	Auditus	lat
foreign	grc	ἀκοὴ
entry	Auellana	0	
orth	Auellana	lat
foreign	grc	κάρυον ἡρακλειωτικον
entry	Auena	0	
orth	Auena	lat
foreign	grc	βρόμος
entry	Augmentum	0	
orth	Augmentum	lat
foreign	grc	αησις
entry	Auis lingua	0	
orth	Auis lingua	lat
foreign	grc	ὀρνεόγλῶσον
entry	Aurifusorium specillum	0	
orth	Aurifusorium specillum	lat
foreign	grc	ὡτειγύτης
entry	Auripigmentum	0	
orth	Auripigmentum	lat
foreign	grc	αρσενκὸν
entry	Auris	0	
orth	Auris	lat
foreign	grc	ους
entry	Aurium dolor	0	
orth	Aurium dolor	lat
foreign	grc	ὡταλγία
entry	Auron	0	
orth	Auron	lat
foreign	grc	βρόμος
entry	Auster	0	
orth	Auster	lat
foreign	grc	voτὸς
entry	Austerum	0	
orth	Austerum	lat
foreign	grc	αὐστηρὸν
entry	Autumnus	0	
orth	Autumnus	lat
foreign	grc	φθινοπωρον
entry	Axilla	0	
orth	Axilla	lat
foreign	grc	pαραλίς
entry	Axillaris vena	0	
orth	Axillaris vena	lat
foreign	grc	μασαλιὰλα φλεος
entry	Axungia	0	
orth	Axungia	lat
foreign	grc	ἄξόγνιον
foreign	grc	ὀξῦγνιον
entry	Bacchar	0	
orth	Bacchar	lat
foreign	grc	ἄσὸρον
entry	Balaustium	0	
orth	Balaustium	lat
foreign	grc	βαλαῦστιον
entry	Balbuties	0	
orth	Balbuties	lat
foreign	grc	δλλότης,
entry	Ballaeria	0	
orth	Ballaeria	lat
foreign	grc	λύχιις
entry	Balneum	0	
orth	Balneum	lat
